KorDSS MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,4/16/21 16:44,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,TIME,SITE,DATA ID,GPS Latitude (),GPS Longitude (),Barometer (mmHg),Pressure (psi a),Depth (m),Vertical Position (m),ODO (% Sat),ODO (mg/L),Turbidity (FNU),TSS (mg/L),Cond (S/cm),Sp Cond (S/cm),Sal (psu),nLFCond (S/cm),TDS (mg/L),Temp (F),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),pH,pH (mV),ORP (mV),
5/27/20,11:30:00 AM,DL (deep),,47.17038,-95.16795,717.7,-0.014,-0.01,0.018,89.1,8.15,4.26,0,1.4,1.5,0,1.5,1,67.5,740740.8,-1.7,-1.7,,,,
5/27/20,11:30:02 AM,DL (deep),,47.17039,-95.16795,717.7,-0.014,-0.01,0.019,89.5,8.19,4.2,0,1.4,1.5,0,1.6,1,68,719424.4,-1.8,-1.8,,,,
5/27/20,11:30:04 AM,DL (deep),,47.17039,-95.16795,717.8,-0.012,-0.008,0.018,89.3,8.13,3.78,0,1.4,1.5,0,1.6,1,67.9,714285.7,-1.8,-1.8,,,,
5/27/20,11:30:06 AM,DL (deep),,47.17039,-95.16795,717.8,-0.013,-0.009,0.018,89.4,8.14,3.99,0,1.4,1.5,0,1.5,1,67.9,724637.7,-1.8,-1.8,,,,
5/27/20,11:30:08 AM,DL (deep),,47.17039,-95.16795,717.7,-0.01,-0.007,0.019,93.3,8.5,3.82,0,1.3,1.5,0,1.5,1,67.8,757575.8,-1.8,-1.8,,,,
5/27/20,11:30:10 AM,DL (deep),,47.17039,-95.16795,717.8,-0.011,-0.008,0.02,94.4,8.6,3.7,0,1.3,1.5,0,1.5,1,67.9,740740.8,-1.8,-1.8,,,,
5/27/20,11:30:12 AM,DL (deep),,47.17039,-95.16795,717.9,-0.01,-0.007,0.02,95.2,8.66,3.59,0,1.3,1.5,0,1.5,1,68,740740.8,-1.8,-1.8,,,,
5/27/20,11:30:14 AM,DL (deep),,47.17039,-95.16795,717.8,-0.011,-0.008,0.019,95.4,8.66,3.55,0,1.3,1.5,0,1.5,1,68.2,757575.8,-1.8,-1.8,,,,
5/27/20,11:30:16 AM,DL (deep),,47.17039,-95.16795,717.8,-0.01,-0.007,0.02,95.7,8.66,3.29,0,1.3,1.4,0,1.4,1,68.5,769230.8,-1.9,-1.9,,,,
5/27/20,11:30:18 AM,DL (deep),,47.17038,-95.16795,717.8,-0.009,-0.006,0.021,95.6,8.63,3.32,0,1.3,1.4,0,1.5,1,68.8,763358.8,-1.9,-1.9,,,,
