KorDSS MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,7/16/21 12:20,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DATE,TIME,SITE,DATA ID,GPS Latitude (),GPS Longitude (),Barometer (mmHg),ODO (% Sat),ODO (mg/L),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (F),Temp ©,Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),pH,pH (mV),ORP (mV),Pressure (psi a),Depth (m),Vertical Position (m)
7/15/21,3:06:13 PM,JLjuly2021,,47.1628,-95.1656,722.4,109.6,8.87,68.9,67.4,0.03,67.2,44,79.1,26.16666667,14518,-3.2,-3.2,17.51,-610,-301.1,-0.017,0.26,0.148
7/15/21,3:07:56 PM,JLjuly2021,,47.16278,-95.1656,722.4,110.1,8.97,68.3,67.3,0.03,67.2,44,78.4,25.77777778,14637,-3.1,-3.1,17.52,-610,-404.2,0.318,0.497,0.384
7/15/21,3:10:16 PM,JLjuly2021,,47.16278,-95.16563,722.4,109.1,8.95,67.8,67.2,0.03,67.2,44,77.7,25.38888889,14755.8,-3,-3,17.54,-610,-505.3,1.073,1.029,0.916
7/15/21,3:11:18 PM,JLjuly2021,,47.16277,-95.16562,722.3,108.8,8.95,67.5,67.2,0.03,67.2,44,77.4,25.22222222,14812.6,-3,-3,17.54,-610,-532.5,1.728,1.491,1.38
7/15/21,3:12:59 PM,JLjuly2021,,47.16276,-95.16561,722.4,109.3,9.01,67.3,67.2,0.03,67.2,44,77.1,25.05555556,14867.7,-2.9,-2.9,17.55,-610,-96.7,2.456,2.004,1.893
7/15/21,3:14:07 PM,JLjuly2021,,47.16277,-95.16563,722.3,108.1,8.93,67.1,67.2,0.03,67.2,44,76.9,24.94444444,14900.9,-2.9,-2.9,17.55,-610,-96.9,3.161,2.501,2.388
7/15/21,3:15:27 PM,JLjuly2021,,47.16277,-95.16563,722.3,108,8.94,67,67.1,0.03,67.2,44,76.8,24.88888889,14929.8,-2.9,-2.9,17.56,-610,-97.5,3.879,3.007,2.896
7/15/21,3:16:46 PM,JLjuly2021,,47.16276,-95.16563,722.4,108.2,8.98,66.8,67,0.03,67.1,44,76.6,24.77777778,14979,-2.9,-2.9,8.64,-99.3,-97.8,4.583,3.504,3.39
7/15/21,3:18:34 PM,JLjuly2021,,47.16279,-95.1656,722.4,108.9,9.08,66.2,66.9,0.03,67,43,76,24.44444444,15098.9,-2.8,-2.8,8.37,-84,-95.3,5.288,4.001,3.888
7/15/21,3:20:34 PM,JLjuly2021,,47.16279,-95.1656,722.3,158.3,13.86,62.1,65.9,0.03,66.3,43,71.5,21.94444444,16110.8,-2.2,-2.2,9.2,-130.5,-90.3,6.014,4.51,4.396
7/15/21,3:21:50 PM,JLjuly2021,,47.16279,-95.16561,722.3,168.4,15.44,59.2,66,0.03,66.6,43,67.3,19.61111111,16900.5,-1.7,-1.7,9.51,-146.8,-88.4,6.719,5.004,4.892
7/15/21,3:23:00 PM,JLjuly2021,,47.16279,-95.16562,722.3,154.5,15.02,55.1,65.5,0.03,66.4,43,62.1,16.72222222,18132.4,-1.2,-1.1,9.29,-133.5,-81,7.423,5.497,5.383
7/15/21,3:24:34 PM,JLjuly2021,,47.16278,-95.16561,722.3,140.4,14.27,52.3,65.2,0.03,66.2,42,58.4,14.66666667,19116.8,-0.8,-0.8,8.97,-114.4,-70.3,8.119,5.985,5.872
7/15/21,3:26:54 PM,JLjuly2021,,47.16277,-95.16563,722.2,120.9,12.71,51.2,66.2,0.03,67.3,43,55.5,13.05555556,19550.3,-0.6,-0.6,7.96,-58.2,-45.6,8.893,6.528,6.417
7/15/21,3:29:11 PM,JLjuly2021,,47.16278,-95.16562,722.3,39.9,4.36,50.9,68.8,0.03,70,45,52.5,11.38888889,19642.5,-0.4,-0.4,6.94,-2.4,-45.8,9.568,7.002,6.887
7/15/21,3:33:37 PM,JLjuly2021,,47.16278,-95.16563,722.2,5,0.56,49.7,68.8,0.03,70,45,50.9,10.5,20104.5,-0.3,-0.3,6.76,7.4,-86,10.269,7.494,7.375
7/15/21,3:35:14 PM,JLjuly2021,,47.16278,-95.16553,722.1,2.6,0.3,48.4,67.7,0.03,68.9,44,50.2,10.11111111,20648.4,-0.3,-0.2,6.73,8.9,-94.5,10.949,7.972,7.858
7/15/21,3:36:55 PM,JLjuly2021,,47.16279,-95.16554,722.2,2.6,0.3,44,62.8,0.03,63.9,41,48.7,9.277777778,22737.6,-0.2,-0.2,6.65,13.1,-96.6,11.706,8.504,8.389
7/15/21,3:39:41 PM,JLjuly2021,,47.16278,-95.16558,722.2,0.7,0.08,38,55,0.03,56,36,47.9,8.833333333,26315.8,-0.2,-0.1,6.54,19,-100.6,12.41,8.999,8.882
7/15/21,3:41:37 PM,JLjuly2021,,47.16279,-95.1656,722.2,-1.3,-0.15,28.1,41.3,0.02,42,27,46.8,8.222222222,35612.5,-0.1,-0.1,6.34,29.9,-103.6,13.114,9.494,9.379
7/15/21,3:43:00 PM,JLjuly2021,,47.16278,-95.1656,722.2,-1.8,-0.21,42.8,63.9,0.03,65,42,45.8,7.666666667,23364.5,-0.1,0,6.53,19.4,-109.8,13.805,9.979,9.863
