KorDSS MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,10/8/21 0:50,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,TIME,SITE,DATA ID,GPS Latitude (),GPS Longitude (),Barometer (mmHg),Cond (S/cm),Sp Cond (S/cm),Sal (psu),nLFCond (S/cm),TDS (mg/L),Temp (F),Sigma-T (s t),Sigma (s),Chlorophyll (RFU),Chlorophyll (g/L),PC (RFU),PC (ug/L),ODO (% Sat),ODO (mg/L),ODO (% LocalB),Turbidity (FNU),TSS (mg/L),Pressure (psi a),Depth (m),Vertical Position (m)
10/5/21,11:35:11 AM,Arco,,47.16573,-95.16821,727.4,80.5,93.3,0.04,94.5,61,64.1,-1.3,-1.3,1.51,0.56,0.16,-0.78,91.4,8.69,95.5,0.46,0,-0.095,0.205,0.161
10/5/21,11:35:44 AM,Arco,,47.16571,-95.16821,727.4,83.8,97.2,0.05,98.4,63,64.1,-1.3,-1.3,1.33,0.43,0.16,-0.78,89.1,8.47,93.1,0.46,0,-0.094,0.206,0.162
10/5/21,11:37:03 AM,Arco,,47.16572,-95.16821,727.4,83,96.8,0.04,98,63,63.6,-1.3,-1.3,2.04,0.94,0.19,-0.75,87.5,8.36,91.4,0.56,0,0.333,0.507,0.463
10/5/21,11:38:15 AM,Arco,,47.16573,-95.16823,727.4,82.5,96.6,0.04,97.8,63,63.3,-1.3,-1.3,2.27,1.1,0.19,-0.75,87.4,8.38,91.4,0.58,0,1.071,1.026,0.981
10/5/21,11:39:10 AM,Arco,,47.16572,-95.16819,727.3,82.5,96.5,0.04,97.7,63,63.3,-1.3,-1.3,2.78,1.46,0.19,-0.75,87.3,8.37,91.2,0.57,0,1.751,1.505,1.459
10/5/21,11:39:58 AM,Arco,,47.16573,-95.16824,727.4,82.4,96.5,0.04,97.8,63,63.2,-1.2,-1.2,3.29,1.82,0.24,-0.72,87.1,8.36,91,0.6,0,2.45,1.997,1.95
10/5/21,11:40:33 AM,Arco,,47.16574,-95.16823,727.3,82.3,96.5,0.04,97.8,63,63.2,-1.2,-1.2,3.77,2.16,0.29,-0.67,87,8.35,90.9,0.56,0,3.182,2.512,2.589
10/5/21,11:41:51 AM,Arco,,47.16574,-95.1682,727.3,82.3,96.5,0.04,97.8,63,63.1,-1.2,-1.2,4.25,2.49,0.26,-0.69,86.9,8.34,90.8,0.56,0,3.942,3.047,3.001
10/5/21,11:42:40 AM,Arco,,47.16573,-95.16821,727.4,82.3,96.6,0.04,97.8,63,63.1,-1.2,-1.2,4.87,2.93,0.3,-0.66,86.9,8.34,90.8,0.63,0,4.574,3.492,3.448
10/5/21,11:43:13 AM,Arco,,47.16572,-95.16821,727.2,82.3,96.6,0.04,97.8,63,63.1,-1.2,-1.2,4.9,2.96,0.25,-0.7,86.7,8.33,90.6,0.61,0,5.286,3.993,3.944
10/5/21,11:43:34 AM,Arco,,47.16573,-95.16819,727.4,82.3,96.6,0.04,97.8,63,63.1,-1.2,-1.2,4.64,2.77,0.34,-0.63,86.6,8.32,90.5,0.55,0,5.273,3.984,3.942
10/5/21,11:44:23 AM,Arco,,47.16572,-95.16821,727.4,82.3,96.6,0.04,97.8,63,63,-1.2,-1.2,5.11,3.1,0.3,-0.67,84.6,8.13,88.4,0.61,0,6.001,4.497,4.454
10/5/21,11:45:06 AM,Arco,,47.16573,-95.16823,727.3,82.3,96.6,0.04,97.9,63,63,-1.2,-1.2,5.57,3.43,0.35,-0.62,83,7.99,86.8,0.62,0,6.757,5.029,5.049
10/5/21,11:47:00 AM,Arco,,47.16574,-95.16821,727.3,82.3,97.3,0.05,98.6,63,62.5,-1.2,-1.1,5.71,3.53,0.49,-0.5,71.4,6.91,74.6,0.7,0,7.465,5.527,5.479
10/5/21,11:47:58 AM,Arco,,47.16573,-95.16818,727.4,81.5,97.3,0.05,98.6,63,61.7,-1.1,-1.1,6.26,3.92,0.72,-0.31,70.1,6.84,73.3,0.96,0,8.156,6.013,5.968
10/5/21,11:49:21 AM,Arco,,47.16572,-95.16821,727.2,85.9,106.5,0.05,108.2,69,58.7,-0.8,-0.8,10.89,7.19,1.72,0.54,58,5.87,60.6,3.41,0,8.86,6.506,6.461
10/5/21,11:51:41 AM,Arco,,47.16573,-95.16818,727.2,82.2,109.8,0.05,111.7,71,53.4,-0.4,-0.4,12.34,8.21,2.78,1.43,7.2,0.77,7.5,2.83,0,9.591,7.019,6.974
10/5/21,11:53:11 AM,Arco,,47.16575,-95.16823,727.2,77.3,108.6,0.05,110.5,71,49.9,-0.3,-0.2,39.64,27.5,5.56,3.77,0.9,0.1,0.9,3.79,0,10.286,7.506,7.461
10/5/21,11:54:05 AM,Arco,,47.16573,-95.16822,727.2,88.5,129.9,0.06,132.1,84,47,-0.1,-0.1,11.46,7.59,3.63,2.14,-0.7,-0.08,-0.7,4.4,0,11.005,8.01,7.962
10/5/21,11:55:36 AM,Arco,,47.16573,-95.16823,727.3,109,165.2,0.08,168,107,44.9,0,0,8.12,5.23,2.84,1.48,-1.5,-0.18,-1.5,11.91,0,11.709,8.504,8.455
10/5/21,11:57:02 AM,Arco,,47.16573,-95.16823,727.4,175.9,272.9,0.13,277.4,177,43.5,0,0.1,8.88,5.77,1.13,0.04,-2.1,-0.26,-2.2,24.79,0,12.404,8.993,8.946
10/5/21,11:58:54 AM,Arco,,47.16572,-95.16822,727.2,188.6,295.6,0.14,300.3,192,42.9,0.1,0.1,8.09,5.21,0.95,-0.12,-2.3,-0.29,-2.4,13.17,0,13.104,9.485,9.438
10/5/21,11:59:47 AM,Arco,,47.16573,-95.16822,727.3,192.7,303.7,0.15,308.4,197,42.6,0.1,0.1,8.05,5.19,0.9,-0.16,-2.4,-0.29,-2.5,11.21,0,13.532,9.786,9.738
10/5/21,12:05:54 PM,Arco,,47.16573,-95.16819,727.1,176.4,273.4,0.13,277.8,178,43.6,0,0.1,9.34,6.09,1.24,0.13,-2.6,-0.31,-2.7,28.21,0,12.424,9.007,8.959
