"N2","Depth"
0.000629781336313673,3.1307
0.000557673761369897,3.5004
0.000321069693786926,3.8577
0.000159653251406182,4.1928
7.88333761892986e-05,4.4845
4.15944560061129e-05,4.7837
3.19767719566957e-05,5.0883
2.83006224756344e-05,5.3689
2.12416594964543e-05,5.6597
1.96079555088381e-05,5.9068
1.69250365220612e-05,6.1584
2.67092654876715e-05,6.4567
2.61027229354369e-05,6.755
3.67391335652992e-05,7.0546
2.40703326986769e-05,7.3571
3.49844388406357e-05,7.6564
2.99604809545212e-05,7.9983
3.14309109200731e-05,8.3224
3.64532241534821e-05,8.6003
2.37160104626526e-05,9.0345
2.62140673525195e-05,9.4347
1.90882583227284e-05,9.7881
1.96891032779563e-05,10.1419
1.10449596270326e-05,10.4569
