"N2","Depth"
0.00178546691480918,2.0768
0.00128975089405262,2.3389
0.00105636725250188,2.5948
0.000750778673925582,2.8774
0.000511186745974771,3.1029
0.000170091434166002,3.3196
0.000128706454592966,3.5019
0.000101922940288107,3.6863
7.87677017143727e-05,3.8779
5.63222205278149e-05,4.0339
3.84637140038804e-05,4.2044
3.77693966504024e-05,4.3377
3.0891180672612e-05,4.4928
2.80057689439688e-05,4.6456
2.46171208220304e-05,4.8131
1.18058198706189e-06,4.9565
8.17989881147904e-07,5.1418
6.21391313607055e-07,5.3575
5.52468859631309e-07,5.5684
4.38414780844461e-07,5.7943
2.61518698167634e-07,6.0101
1.34816054502535e-05,6.2905
1.4280276401598e-05,6.5534
1.56536863156296e-05,6.7918
1.6563454570965e-05,7.0157
1.62908323408425e-05,7.2433
2.01905980999129e-05,7.4252
2.26189168620663e-05,7.9454
2.31950825912576e-05,8.1063
3.03575044097827e-05,8.8965
3.27848539404731e-05,9.0088
