"rho","Depth"
997.414032480325,0.495
997.416130348139,0.973
997.418271447742,1.462
997.563429818487,2.44
998.06081417536,2.966
998.84971101338,3.491
999.629423402757,4.377
999.715875280066,4.488
999.909605602034,4.978
999.985779922595,5.489
1000.03062529666,6.004
1000.05202770231,6.503
1000.06721946369,6.98
1000.07208055545,7.484
1000.07498649129,7.889
1000.08650336133,8.455
1000.08865195644,8.9
1000.09928052051,9.445
1000.11797661907,10.005
1000.20583959616,11.923
1000.25828933413,13.099
1000.26973923215,13.949
1000.27377133327,14.785
1000.27912587566,15.895
