"rho","Depth"
1000.03812103832,2.7093
1000.04450990378,3.2013
1000.04830730152,3.695
1000.05194092207,4.1976
1000.05523725781,4.6959
1000.05845915479,5.1968
1000.06165694502,5.697
1000.06483895713,6.1945
1000.06804091348,6.6959
1000.07121489085,7.1927
1000.07599515133,7.6943
1000.08317609873,8.2009
1000.09193551965,8.7092
1000.10218580953,9.2035
1000.11562968402,9.7076
1000.13220154477,10.2082
1000.15028782101,10.704
1000.16914802457,11.2055
1000.18873186905,11.7046
1000.20905995408,12.2041
1000.22778575216,12.7026
1000.24410734308,13.1955
1000.25966905111,13.6949
1000.27364598043,14.1925
1000.29155351089,14.6757
