Lake,Date,Collector,Depth,Device,Measurement,Value,Units,Comment,Flag,QC
Deming,6/19/19,Elizabeth Swanner,0,YSI ProDSS,Temperature,20.1,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,0.772,YSI ProDSS,Temperature,19.6,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,1.272,YSI ProDSS,Temperature,19.5,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,1.772,YSI ProDSS,Temperature,19.3,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,2.272,YSI ProDSS,Temperature,18.8,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,2.772,YSI ProDSS,Temperature,16,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,3.272,YSI ProDSS,Temperature,12.6,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,3.772,YSI ProDSS,Temperature,9.6,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,4.272,YSI ProDSS,Temperature,7.8,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,4.772,YSI ProDSS,Temperature,6.7,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,5.272,YSI ProDSS,Temperature,5.6,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,5.772,YSI ProDSS,Temperature,5,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,6.272,YSI ProDSS,Temperature,4.7,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,6.772,YSI ProDSS,Temperature,4.5,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,7.272,YSI ProDSS,Temperature,4.5,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,7.772,YSI ProDSS,Temperature,4.4,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,8.272,YSI ProDSS,Temperature,4.4,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,8.772,YSI ProDSS,Temperature,4.4,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,9.272,YSI ProDSS,Temperature,4.5,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,9.772,YSI ProDSS,Temperature,4.5,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,10.272,YSI ProDSS,Temperature,4.5,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,10.772,YSI ProDSS,Temperature,4.6,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,11.272,YSI ProDSS,Temperature,4.6,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,11.772,YSI ProDSS,Temperature,4.7,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,12.272,YSI ProDSS,Temperature,4.7,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,12.772,YSI ProDSS,Temperature,4.8,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,13.272,YSI ProDSS,Temperature,4.8,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,13.772,YSI ProDSS,Temperature,4.9,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,14.272,YSI ProDSS,Temperature,4.9,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,14.772,YSI ProDSS,Temperature,4.9,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,15.272,YSI ProDSS,Temperature,4.9,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,15.772,YSI ProDSS,Temperature,4.9,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,16.272,YSI ProDSS,Temperature,4.9,degreesCelsius,,,0.1
Deming,6/19/19,Elizabeth Swanner,16.772,YSI ProDSS,Temperature,4.9,degreesCelsius,,,0.1
Josephine,6/19/19,Elizabeth Swanner,0.772,YSI ProDSS,Temperature,20.7,degreesCelsius,,,0.1
Josephine,6/19/19,Elizabeth Swanner,1.272,YSI ProDSS,Temperature,20.3,degreesCelsius,,,0.1
Josephine,6/19/19,Elizabeth Swanner,1.772,YSI ProDSS,Temperature,20,degreesCelsius,,,0.1
Josephine,6/19/19,Elizabeth Swanner,2.272,YSI ProDSS,Temperature,19.9,degreesCelsius,,,0.1
Josephine,6/19/19,Elizabeth Swanner,2.772,YSI ProDSS,Temperature,19.8,degreesCelsius,,,0.1
Josephine,6/19/19,Elizabeth Swanner,3.272,YSI ProDSS,Temperature,19.5,degreesCelsius,,,0.1
Josephine,6/19/19,Elizabeth Swanner,3.772,YSI ProDSS,Temperature,18.1,degreesCelsius,,,0.1
Josephine,6/19/19,Elizabeth Swanner,4.272,YSI ProDSS,Temperature,16.5,degreesCelsius,,,0.1
Josephine,6/19/19,Elizabeth Swanner,4.772,YSI ProDSS,Temperature,14.2,degreesCelsius,,,0.1
Josephine,6/19/19,Elizabeth Swanner,5.272,YSI ProDSS,Temperature,12,degreesCelsius,,,0.1
Josephine,6/19/19,Elizabeth Swanner,5.772,YSI ProDSS,Temperature,10.4,degreesCelsius,,,0.1
Josephine,6/19/19,Elizabeth Swanner,6.272,YSI ProDSS,Temperature,9.7,degreesCelsius,,,0.1
Josephine,6/19/19,Elizabeth Swanner,6.772,YSI ProDSS,Temperature,8.6,degreesCelsius,,,0.1
Josephine,6/19/19,Elizabeth Swanner,7.272,YSI ProDSS,Temperature,7.7,degreesCelsius,,,0.1
Josephine,6/19/19,Elizabeth Swanner,7.772,YSI ProDSS,Temperature,7.8,degreesCelsius,,,0.1
Josephine,6/19/19,Elizabeth Swanner,8.272,YSI ProDSS,Temperature,7.3,degreesCelsius,,,0.1
Josephine,6/19/19,Elizabeth Swanner,8.772,YSI ProDSS,Temperature,7,degreesCelsius,,,0.1
Josephine,6/19/19,Elizabeth Swanner,9.272,YSI ProDSS,Temperature,6.7,degreesCelsius,,,0.1
Josephine,6/19/19,Elizabeth Swanner,9.772,YSI ProDSS,Temperature,6.4,degreesCelsius,,,0.1
Josephine,6/19/19,Elizabeth Swanner,10.272,YSI ProDSS,Temperature,6.2,degreesCelsius,,,0.1
Josephine,6/19/19,Elizabeth Swanner,10.772,YSI ProDSS,Temperature,6.1,degreesCelsius,,,0.1
Josephine,6/19/19,Elizabeth Swanner,11.272,YSI ProDSS,Temperature,5.9,degreesCelsius,,,0.1
Arco,6/20/19,Elizabeth Swanner,11.272,YSI ProDSS,Temperature,-99999,degreesCelsius,,,0.1
Arco,6/20/19,Elizabeth Swanner,0.772,YSI ProDSS,Temperature,19.8,degreesCelsius,,,0.1
Arco,6/20/19,Elizabeth Swanner,1.272,YSI ProDSS,Temperature,19.8,degreesCelsius,,,0.1
Arco,6/20/19,Elizabeth Swanner,1.772,YSI ProDSS,Temperature,19.7,degreesCelsius,,,0.1
Arco,6/20/19,Elizabeth Swanner,2.272,YSI ProDSS,Temperature,19.4,degreesCelsius,,,0.1
Arco,6/20/19,Elizabeth Swanner,2.772,YSI ProDSS,Temperature,18.1,degreesCelsius,,,0.1
Arco,6/20/19,Elizabeth Swanner,3.272,YSI ProDSS,Temperature,14.6,degreesCelsius,,,0.1
Arco,6/20/19,Elizabeth Swanner,3.772,YSI ProDSS,Temperature,11.7,degreesCelsius,,,0.1
Arco,6/20/19,Elizabeth Swanner,4.272,YSI ProDSS,Temperature,9.5,degreesCelsius,,,0.1
Arco,6/20/19,Elizabeth Swanner,4.772,YSI ProDSS,Temperature,8.2,degreesCelsius,,,0.1
Arco,6/20/19,Elizabeth Swanner,5.272,YSI ProDSS,Temperature,7,degreesCelsius,,,0.1
Arco,6/20/19,Elizabeth Swanner,5.772,YSI ProDSS,Temperature,6.2,degreesCelsius,,,0.1
Arco,6/20/19,Elizabeth Swanner,6.272,YSI ProDSS,Temperature,5.7,degreesCelsius,,,0.1
Arco,6/20/19,Elizabeth Swanner,6.772,YSI ProDSS,Temperature,5.5,degreesCelsius,,,0.1
Arco,6/20/19,Elizabeth Swanner,7.272,YSI ProDSS,Temperature,5.3,degreesCelsius,,,0.1
Arco,6/20/19,Elizabeth Swanner,7.772,YSI ProDSS,Temperature,5,degreesCelsius,,,0.1
Arco,6/20/19,Elizabeth Swanner,8.272,YSI ProDSS,Temperature,4.9,degreesCelsius,,,0.1
Arco,6/20/19,Elizabeth Swanner,8.772,YSI ProDSS,Temperature,4.9,degreesCelsius,,,0.1
Arco,6/20/19,Elizabeth Swanner,9.272,YSI ProDSS,Temperature,4.8,degreesCelsius,,,0.1
Arco,6/20/19,Elizabeth Swanner,9.772,YSI ProDSS,Temperature,4.8,degreesCelsius,,,0.1
Arco,6/20/19,Elizabeth Swanner,10.272,YSI ProDSS,Temperature,4.8,degreesCelsius,,,0.1
Arco,6/20/19,Elizabeth Swanner,10.772,YSI ProDSS,Temperature,4.9,degreesCelsius,,,0.1
Budd,6/20/19,Elizabeth Swanner,0,YSI ProDSS,Temperature,-99999,degreesCelsius,,,0.1
Budd,6/20/19,Elizabeth Swanner,0.772,YSI ProDSS,Temperature,20,degreesCelsius,,,0.1
