KorDSS MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,4/16/21 15:08,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,TIME,SITE,DATA ID,GPS Latitude (),GPS Longitude (),Barometer (mmHg),Cond (S/cm),Sp Cond (S/cm),Sal (psu),nLFCond (S/cm),TDS (mg/L),Temp (F),Temp ©,Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),Turbidity (FNU),TSS (mg/L),ODO (% Sat),ODO (mg/L),pH,pH (mV),ORP (mV),Pressure (psi a),Depth (m),Corrected Depth,Vertical Position (m)
1/12/21,12:25:25 PM,dl winter deep,,47.17033,-95.16812,716.3,-0.1,-0.1,0,-0.1,0,34.2,1.222222222,-12500000,-0.1,-0.1,72.22,0,96.7,13.67,6.53,-3,159.8,-0.049,-0.034,0.238,-0.376
1/12/21,12:27:35 PM,dl winter deep,,47.17032,-95.16814,716.4,80.6,152.8,0.07,153.4,99,32.5,0.277777778,12403.9,-0.1,-0.1,23.26,0,69.1,10.03,7.56,-55.4,206.3,0.003,0.002,0.274,-0.328
1/12/21,12:30:07 PM,dl winter deep,,47.17033,-95.16813,716.3,78.5,139.9,0.07,141.2,91,35.7,2.055555556,12732.4,0,0,33.11,0,51.7,7.15,6.53,-3.2,206.7,0.707,0.497,0.769,0.156
1/12/21,12:31:44 PM,dl winter deep,,47.17033,-95.16814,716.4,80.5,138.9,0.07,140.4,90,37.3,2.944444444,12428.5,0,0,31.1,0,49.4,6.65,6.42,2.6,202.8,1.449,1.019,1.291,0.678
1/12/21,12:32:50 PM,dl winter deep,,47.17033,-95.16814,716.3,81.9,138.9,0.07,140.6,90,38.3,3.5,12217.5,0,0,25,0,45.7,6.07,6.45,1.3,199.5,2.176,1.53,1.802,1.188
1/12/21,12:33:34 PM,dl winter deep,,47.17031,-95.16813,716.5,82.7,139.4,0.07,141.2,91,38.6,3.666666667,12097.8,0,0,24.92,0,43.3,5.73,6.45,1.3,197.7,2.848,2.003,2.275,1.665
1/12/21,12:34:36 PM,dl winter deep,,47.17031,-95.16813,716.4,83.5,139.7,0.07,141.5,91,39.1,3.944444444,11980.4,0,0,26.7,0,40.9,5.37,6.46,0.9,195.2,3.573,2.512,2.784,2.174
1/12/21,12:35:18 PM,dl winter deep,,47.17032,-95.16814,716.4,83.7,140,0.07,141.8,91,39.1,3.944444444,11948.9,0,0.1,26,0,39.2,5.14,6.46,1,194.1,4.25,2.988,3.26,2.649
1/12/21,12:37:18 PM,dl winter deep,,47.17033,-95.16814,716.5,83.8,139.8,0.07,141.6,91,39.2,4,11934.6,0,0.1,27.41,0,35.1,4.6,6.53,-2.6,188.1,4.991,3.509,3.781,3.17
1/12/21,12:39:16 PM,dl winter deep,,47.17032,-95.16814,716.6,84.9,141.5,0.07,143.4,92,39.3,4.055555556,11773,0,0.1,21.22,0,32.6,4.26,6.55,-4,183.7,5.67,3.986,4.258,3.646
1/12/21,12:40:23 PM,dl winter deep,,47.17032,-95.16813,716.5,85,141.5,0.07,143.4,92,39.4,4.111111111,11764.7,0,0.1,28.28,0,31.5,4.12,6.56,-4.5,181.8,6.361,4.472,4.744,4.133
1/12/21,12:41:14 PM,dl winter deep,,47.1703,-95.16815,716.5,85.4,142.1,0.07,144,92,39.4,4.111111111,11712.3,0,0.1,26.97,0,31,4.05,6.56,-4.5,181,7.075,4.974,5.246,4.635
1/12/21,12:42:43 PM,dl winter deep,,47.17031,-95.16814,716.4,85.6,142.5,0.07,144.4,93,39.4,4.111111111,11679.5,0,0.1,33.76,0,28.3,3.7,6.6,-6.6,177.3,7.775,5.466,5.738,5.126
1/12/21,12:44:38 PM,dl winter deep,,47.17033,-95.16812,716.4,85.7,142.6,0.07,144.5,93,39.4,4.111111111,11664.5,0,0.1,39.72,0,22.8,2.98,6.63,-8.2,174.7,8.491,5.97,6.242,5.628
1/12/21,12:45:03 PM,dl winter deep,,47.17034,-95.16812,716.4,85.8,142.6,0.07,144.5,93,39.4,4.111111111,11661.8,0,0.1,32,0,22.7,2.96,6.64,-8.5,174,8.489,5.969,6.241,5.628
1/12/21,12:48:08 PM,dl winter deep,,47.17031,-95.16814,716.3,86.1,143,0.07,144.9,93,39.5,4.166666667,11619.8,0,0.1,41.02,0,13.3,1.74,6.67,-10.2,170.6,9.197,6.466,6.738,6.124
1/12/21,12:49:40 PM,dl winter deep,,47.1703,-95.16814,716.2,87.8,146,0.07,147.9,95,39.5,4.166666667,11384.3,0,0.1,33.86,0,10.6,1.39,6.68,-10.6,170,9.888,6.952,7.224,6.612
1/12/21,12:51:37 PM,dl winter deep,,47.1703,-95.16816,716.2,87.9,146,0.07,148,95,39.5,4.166666667,11380.4,0,0.1,39.9,0,4.1,0.54,6.7,-11.5,166.5,10.595,7.449,7.721,7.108
1/12/21,12:52:58 PM,dl winter deep,,47.17031,-95.16815,716.2,88.2,146.6,0.07,148.5,95,39.5,4.166666667,11335.3,0,0.1,59.29,0,1.3,0.16,6.71,-12.3,69.7,11.302,7.946,8.218,7.603
1/12/21,12:54:24 PM,dl winter deep,,47.1703,-95.16815,716.2,89.7,149,0.07,151,97,39.5,4.166666667,11145.8,0,0.1,58.2,0,0.4,0.06,6.71,-12.3,14.8,12.017,8.449,8.721,8.105
1/12/21,12:55:51 PM,dl winter deep,,47.17031,-95.16816,716.2,90.9,150.9,0.07,153,98,39.5,4.166666667,10998.7,0,0.1,69.98,0,0.1,0.01,6.72,-12.4,-20.3,12.724,8.946,9.218,8.603
1/12/21,12:57:11 PM,dl winter deep,,47.1703,-95.16814,716.1,110.1,182.1,0.09,184.5,118,39.7,4.277777778,9084.3,0,0.1,78.24,0,-0.1,-0.02,6.66,-9.7,-81.7,14.137,9.939,10.211,9.594
1/12/21,12:59:12 PM,dl winter deep,,47.1703,-95.16811,716,184.9,303.7,0.14,307.9,197,40.1,4.5,5407.7,0.1,0.2,70.8,0,-0.2,-0.03,6.49,-0.7,-135.5,15.534,10.921,11.193,10.575
1/12/21,1:00:26 PM,dl winter deep,,47.17029,-95.16813,716,241.4,394.2,0.19,399.8,256,40.5,4.722222222,4143,0.1,0.2,88.04,0,-0.4,-0.05,6.37,5.5,-147.1,16.964,11.925,12.197,11.582
1/12/21,1:02:24 PM,dl winter deep,,47.17031,-95.16814,716.1,369.2,599.1,0.29,607.8,389,40.8,4.888888889,2708.8,0.2,0.3,112.82,0,-0.6,-0.08,6.25,11.9,-157.9,19.812,13.926,14.198,13.583
1/12/21,1:03:10 PM,dl winter deep,,47.17029,-95.16814,716.1,381.1,617.7,0.3,626.7,401,40.9,4.944444444,2623.9,0.2,0.3,121.35,0,-0.6,-0.08,6.25,11.9,-160.3,21.217,14.914,15.186,14.57
1/12/21,1:04:10 PM,dl winter deep,,47.17031,-95.16813,716.1,398.5,644.8,0.31,654.2,419,41,5,2509.7,0.2,0.3,150.54,0,-0.7,-0.08,6.25,11.8,-162.7,22.637,15.912,16.184,15.567
1/12/21,1:05:13 PM,dl winter deep,,47.17031,-95.16814,716,449.9,727.2,0.35,737.9,473,41.1,5.055555556,2222.7,0.2,0.4,3227.68,0,-0.7,-0.09,6.23,13,-168.2,23.567,16.565,16.837,16.219
