KorDSS MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,4/16/21 15:11,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,TIME,SITE,DATA ID,GPS Latitude (),GPS Longitude (),Barometer (mmHg),Turbidity (FNU),TSS (mg/L),pH,pH (mV),ORP (mV),Cond (S/cm),Sp Cond (S/cm),Sal (psu),nLFCond (S/cm),TDS (mg/L),Temp (F),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),ODO (% Sat),ODO (mg/L),Pressure (psi a),Depth (m),Vertical Position (m),Corrected Depth (m)
1/13/21,2:51:29 PM,arco winter deep,,47.16571,-95.16822,709.3,19.34,0,6.63,-8.2,146.3,57.6,103.5,0.05,104.4,67,35.2,17361.1,0,0,58,8.07,0.84,0.591,0.153,0.863
1/13/21,2:52:44 PM,arco winter deep,,47.16573,-95.16824,709.4,14.31,0,6.58,-5.3,143.6,60.9,104.7,0.05,105.9,68,37.6,16420.4,0,0,52.5,7.04,1.503,1.057,0.622,1.329
1/13/21,2:53:34 PM,arco winter deep,,47.16573,-95.16824,709.3,13.95,0,6.59,-6,142.4,60.9,103.4,0.05,104.7,67,38.3,16409.6,0,0,51.2,6.8,2.218,1.559,1.124,1.831
1/13/21,2:54:19 PM,arco winter deep,,47.16575,-95.16824,709.3,15.28,0,6.61,-6.7,140.9,61,103.2,0.05,104.5,67,38.5,16388.1,0,0,50.4,6.67,2.936,2.064,1.626,2.336
1/13/21,2:54:57 PM,arco winter deep,,47.16573,-95.16823,709.4,14.12,0,6.62,-7.4,139.8,61.3,103.2,0.05,104.5,67,38.8,16302.6,0,0,49.3,6.5,3.659,2.572,2.137,2.844
1/13/21,2:55:48 PM,arco winter deep,,47.16575,-95.16824,709.4,11.78,0,6.63,-8,138.5,61.6,103.3,0.05,104.6,67,38.9,16239,0,0,48,6.32,4.373,3.074,2.64,3.346
1/13/21,2:56:38 PM,arco winter deep,,47.16573,-95.16824,709.3,12.4,0,6.63,-8.1,137.3,61.6,103.2,0.05,104.5,67,39,16241.7,0,0,46.7,6.14,5.058,3.556,3.124,3.828
1/13/21,2:58:00 PM,arco winter deep,,47.16578,-95.16819,709.3,11.98,0,6.67,-9.8,136.9,61.8,103.3,0.05,104.6,67,39.1,16183.8,0,0,42.6,5.58,5.789,4.07,3.637,4.342
1/13/21,3:00:35 PM,arco winter deep,,47.1657,-95.16823,709.3,11.63,0,6.69,-10.8,133.1,62.2,103.8,0.05,105.1,67,39.3,16069.4,0,0,30.1,3.94,6.484,4.559,4.125,4.831
1/13/21,3:01:54 PM,arco winter deep,,47.16573,-95.16823,709.3,12.61,0,6.72,-12.3,131.3,62.6,104.4,0.05,105.8,68,39.3,15969.3,0,0.1,27.4,3.59,7.22,5.076,4.64,5.348
1/13/21,3:03:54 PM,arco winter deep,,47.16571,-95.16822,709.3,15.32,0,6.75,-14,130.1,62.6,104.2,0.05,105.6,68,39.4,15964.2,0,0.1,18.8,2.45,7.911,5.562,5.128,5.834
1/13/21,3:05:32 PM,arco winter deep,,47.1657,-95.16824,709.3,21.16,0,6.75,-14.3,129.6,63.4,105.4,0.05,106.8,68,39.5,15772.9,0,0.1,11.3,1.48,8.634,6.071,5.628,6.343
1/13/21,3:08:35 PM,arco winter deep,,47.16571,-95.16822,709.4,25.43,0,6.75,-14.3,84.4,64.8,107.4,0.05,108.9,70,39.6,15439.2,0,0.1,3.3,0.43,9.358,6.579,6.141,6.851
1/13/21,3:13:02 PM,arco winter deep,,47.16571,-95.16821,709.3,31.72,0,6.76,-14.7,20.6,69.2,114.6,0.05,116.1,74,39.7,14455,0,0.1,0.1,0.01,10.038,7.057,6.618,7.329
1/13/21,3:14:57 PM,arco winter deep,,47.16571,-95.16821,709.3,43.91,0,6.75,-13.9,-0.4,71.1,117.7,0.06,119.3,77,39.7,14064.7,0,0.1,-0.5,-0.06,10.765,7.569,7.12,7.841
1/13/21,3:16:32 PM,arco winter deep,,47.16571,-95.16822,709.2,43.99,0,6.76,-14.5,-20.1,72.6,120.2,0.06,121.8,78,39.7,13768.4,0,0.1,-0.5,-0.06,11.442,8.044,7.607,8.316
1/13/21,3:18:41 PM,arco winter deep,,47.16572,-95.16824,709.1,39.63,0,6.72,-12.8,-54.3,77.4,127.8,0.06,129.5,83,39.8,12923.2,0,0.1,-0.7,-0.09,12.179,8.563,8.121,8.835
1/13/21,3:20:29 PM,arco winter deep,,47.16573,-95.16824,709.1,49.87,0,6.7,-11.3,-77.3,83.3,137.2,0.06,139.1,89,39.9,12012,0,0.1,-0.7,-0.09,12.896,9.067,8.63,9.339
1/13/21,3:21:52 PM,arco winter deep,,47.16572,-95.16822,709,75.01,0,6.63,-7.7,-95.3,97.2,159.8,0.08,162,104,40.1,10290.2,0,0.1,-0.8,-0.1,13.571,9.542,9.1,9.814
1/13/21,3:23:24 PM,arco winter deep,,47.16573,-95.16822,709,143.58,0,6.46,1,-118.1,149.7,245,0.12,248.5,159,40.3,6682.3,0.1,0.1,-0.9,-0.11,14.273,10.035,9.594,10.307
