KorDSS MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,4/16/21 15:10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,TIME,SITE,DATA ID,GPS Latitude (),GPS Longitude (),Barometer (mmHg),Cond (S/cm),Sp Cond (S/cm),Sal (psu),nLFCond (S/cm),TDS (mg/L),Temp (F),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),pH,pH (mV),ORP (mV),Turbidity (FNU),TSS (mg/L),ODO (% Sat),ODO (mg/L),Pressure (psi a),Depth (m),Vertical Position (m),Corrected Depth (m)
1/13/21,1:00:16 PM,dl winter deep,,47.1667,-95.17492,709.7,23,43.7,0.02,43.8,28,32.5,43421.6,-0.1,-0.1,8.47,-101.2,125.8,107.8,0,49.9,7.24,0.033,0.023,-0.401,0.295
1/13/21,1:01:56 PM,dl winter deep,,47.16667,-95.17493,709.7,18.1,34.6,0.02,34.7,22,32.1,55187.6,-0.1,-0.1,8.14,-84.8,130.1,184.09,0,46.6,6.79,0.946,0.665,0.234,0.937
1/13/21,1:03:34 PM,dl winter deep,,47.16668,-95.17493,709.7,18.2,31.2,0.01,31.6,20,37.6,55066.1,0,0,7.88,-72.1,126.8,27.22,0,40.7,5.47,1.525,1.072,0.638,1.344
1/13/21,1:04:29 PM,dl winter deep,,47.16668,-95.17494,709.6,18.7,31.9,0.01,32.3,21,38.2,53333.3,0,0,7.75,-65.3,128.4,21.91,0,37.4,4.98,2.192,1.541,1.11,1.813
1/13/21,1:05:37 PM,dl winter deep,,47.16667,-95.17495,709.6,18.5,31.3,0.01,31.7,20,38.6,53995.7,0,0,7.58,-56.8,128.6,21.53,0,33,4.37,2.898,2.037,1.606,2.309
1/13/21,1:06:53 PM,dl winter deep,,47.16668,-95.17495,709.6,18.8,31.5,0.01,31.9,20,38.9,53304.9,0,0,7.5,-52.5,131.4,24.34,0,29,3.82,3.607,2.536,2.103,2.808
1/13/21,1:08:10 PM,dl winter deep,,47.16669,-95.17494,709.6,18.9,31.5,0.01,31.9,20,39.1,53050.4,0,0,7.43,-49,129,25.41,0,25.2,3.31,4.339,3.051,2.619,3.323
1/13/21,1:09:18 PM,dl winter deep,,47.16668,-95.17493,709.6,19.2,32.1,0.01,32.6,21,39.2,51975.1,0,0,7.32,-43.4,130.6,28.71,0,22.1,2.89,5.091,3.579,3.147,3.851
1/13/21,1:10:10 PM,dl winter deep,,47.16668,-95.17494,709.5,19.4,32.3,0.01,32.8,21,39.2,51599.6,0,0,7.26,-40.5,130.9,25.73,0,20.3,2.66,5.753,4.045,3.612,4.317
1/13/21,1:11:49 PM,dl winter deep,,47.16668,-95.17493,709.6,19.6,32.7,0.01,33.1,21,39.3,50968.4,0,0,7.22,-38.4,135.3,21.21,0,16.8,2.2,6.47,4.549,4.116,4.821
1/13/21,1:13:31 PM,dl winter deep,,47.16666,-95.17493,709.5,20.2,33.7,0.01,34.1,22,39.4,49431.5,0,0,7.15,-34.5,132.4,32.79,0,12,1.57,7.187,5.053,4.62,5.325
