KorDSS MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,7/16/21 12:17,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DATE,TIME,SITE,DATA ID,GPS Latitude (),GPS Longitude (),Barometer (mmHg),Cond (S/cm),Sp Cond (S/cm),Sal (psu),nLFCond (S/cm),TDS (mg/L),Temp (F),Temp C,Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),ODO (% Sat),ODO (mg/L),pH,pH (mV),ORP (mV),Pressure (psi a),Depth (m),Vertical Position (m)
7/14/21,9:50:01 AM,DLjuly2021,,47.17015,-95.1681,723.5,126.5,126.7,0.06,126.7,82,76.9,24.94444444,7904.5,-2.9,-2.9,104.2,8.62,8.2,-74.3,-52.2,-0.019,0.258,0.161
7/14/21,9:55:00 AM,DLjuly2021,,47.17012,-95.16808,723.5,126.6,126.7,0.06,126.7,82,76.9,24.94444444,7900.1,-2.9,-2.9,104.2,8.61,8.19,-74,-56.7,0.316,0.495,0.398
7/14/21,9:56:56 AM,DLjuly2021,,47.17012,-95.16805,723.5,126.5,126.7,0.06,126.7,82,76.9,24.94444444,7902,-2.9,-2.9,104.2,8.61,8.2,-74.2,-57.8,0.995,0.973,0.873
7/14/21,9:59:04 AM,DLjuly2021,,47.17012,-95.16808,723.5,126.6,126.8,0.06,126.8,82,76.9,24.94444444,7896.4,-2.9,-2.9,104.1,8.61,8.19,-73.9,-58.6,1.688,1.462,1.362
7/14/21,10:02:54 AM,DLjuly2021,,47.17012,-95.16806,723.4,125.6,127.2,0.06,127.4,83,75.8,24.33333333,7959.2,-2.7,-2.7,99.2,8.3,8,-62.7,-55.2,3.075,2.44,2.341
7/14/21,10:06:59 AM,DLjuly2021,,47.17012,-95.16807,723.2,119,126.1,0.06,126.8,82,71.7,22.05555556,8399.8,-2.2,-2.2,136.6,11.93,8.37,-83.3,-45.1,3.823,2.966,2.866
7/14/21,10:11:14 AM,DLjuly2021,,47.17013,-95.16808,723.2,107,123.9,0.06,125.4,81,64.1,17.83333333,9342.3,-1.3,-1.3,163.3,15.5,8.82,-107.3,-36,4.573,3.491,3.39
7/14/21,10:19:40 AM,DLjuly2021,,47.17013,-95.16811,723.2,100.8,133.9,0.06,136.3,87,53.7,12.05555556,9918.7,-0.5,-0.4,134.7,14.5,8.09,-65.2,-13.8,5.835,4.377,4.383
7/14/21,10:22:10 AM,DLjuly2021,,47.17015,-95.16814,723.2,98.8,134.3,0.06,136.6,87,52.1,11.16666667,10117.4,-0.4,-0.3,103.5,11.36,7.54,-35.4,6.6,5.994,4.488,4.388
7/14/21,10:25:22 AM,DLjuly2021,,47.17013,-95.16813,723.4,95.3,138.1,0.07,140.6,90,47.8,8.777777778,10496.5,-0.1,-0.1,60.9,7.08,7.25,-19.3,11.7,6.693,4.978,4.88
7/14/21,10:27:46 AM,DLjuly2021,,47.17015,-95.16808,723.3,92.5,139.5,0.07,141.8,91,45.3,7.388888889,10806.1,-0.1,0,26.6,3.2,7.07,-9.6,2.7,7.42,5.489,5.389
7/14/21,10:36:26 AM,DLjuly2021,,47.17014,-95.16812,723.2,91.7,143,0.07,145.3,93,43.2,6.222222222,10901.6,0,0,-1.4,-0.17,6.99,-4.9,-47.8,8.153,6.004,5.905
7/14/21,10:39:52 AM,DLjuly2021,,47.17011,-95.16807,723.2,95,151.9,0.07,154.2,99,41.7,5.388888889,10524.1,0,0.1,-2.4,-0.3,6.98,-4.5,-58.7,8.863,6.503,6.403
7/14/21,10:44:28 AM,DLjuly2021,,47.17011,-95.1681,723.2,99.3,160.3,0.08,162.7,104,41.1,5.055555556,10072.5,0,0.1,-2.8,-0.36,6.97,-4.2,-72.9,9.54,6.98,6.88
7/14/21,10:52:44 AM,DLjuly2021,,47.17016,-95.16811,723,104.7,170.4,0.08,172.9,111,40.7,4.833333333,9546.5,0,0.1,-3.2,-0.41,6.99,-5.2,-97,10.258,7.484,7.382
7/14/21,10:57:39 AM,DLjuly2021,,47.17015,-95.16807,723.1,108.9,177.9,0.08,180.4,116,40.5,4.722222222,9181.1,0,0.1,-3.3,-0.43,6.99,-5.3,-105.3,10.833,7.889,7.785
7/14/21,11:01:49 AM,DLjuly2021,,47.17013,-95.16813,723.1,114.3,187.2,0.09,189.8,122,40.3,4.611111111,8747.4,0,0.1,-3.4,-0.44,6.95,-3.1,-114.1,11.64,8.455,8.347
7/14/21,11:05:02 AM,DLjuly2021,,47.17011,-95.16808,723.2,120.8,198,0.09,200.8,129,40.3,4.611111111,8275.4,0,0.1,-3.4,-0.44,6.92,-1.4,-123.9,12.272,8.9,8.798
7/14/21,11:09:35 AM,DLjuly2021,,47.17013,-95.16803,723,134.1,219.7,0.1,222.7,143,40.3,4.611111111,7459.3,0.1,0.1,-3.5,-0.45,6.86,2,-136.7,13.047,9.445,9.342
7/14/21,11:13:24 AM,DLjuly2021,,47.17017,-95.16807,723,156.9,256.9,0.12,260.5,167,40.3,4.611111111,6373.1,0.1,0.1,-3.4,-0.44,6.79,5.7,-143.1,13.844,10.005,9.901
7/14/21,11:20:39 AM,DLjuly2021,,47.17013,-95.16808,723,278.3,453.4,0.22,459.9,295,40.6,4.777777778,3593.1,0.1,0.2,-3.6,-0.46,6.58,16.6,-154.6,16.574,11.923,11.828
7/14/21,11:25:35 AM,DLjuly2021,,47.17011,-95.16808,722.9,351.6,571,0.28,579.3,371,40.8,4.888888889,2843.8,0.2,0.3,-3.6,-0.46,6.55,18.3,-163.5,18.247,13.099,13
7/14/21,11:28:15 AM,DLjuly2021,,47.17012,-95.16808,723,362.7,588.3,0.29,596.8,382,40.9,4.944444444,2757.3,0.2,0.3,-3.6,-0.46,6.55,18.6,-166.5,19.457,13.949,13.838
7/14/21,11:31:49 AM,DLjuly2021,,47.17012,-95.16808,723,367.7,596.2,0.29,604.8,387,40.9,4.944444444,2719.5,0.2,0.3,-3.6,-0.46,6.54,18.7,-170.5,20.646,14.785,14.696
7/14/21,11:33:58 AM,DLjuly2021,,47.17013,-95.16811,723,371.4,601.6,0.29,610.4,391,40.9,4.944444444,2692.7,0.2,0.3,-3.6,-0.46,6.54,18.9,-171.1,22.225,15.895,15.772
