KorDSS MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,7/16/21 12:18,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DATE,TIME,SITE,DATA ID,GPS Latitude (),GPS Longitude (),Barometer (mmHg),pH,pH (mV),ORP (mV),Cond (S/cm),Sp Cond (S/cm),Sal (psu),nLFCond (S/cm),TDS (mg/L),Temp (F),Temp ©,Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),ODO (% Sat),ODO (mg/L),Pressure (psi a),Depth (m),Vertical Position (m)
7/15/21,10:41:04 AM,Buddjuly2021,,47.16665,-95.17491,722.3,7.2,-17.3,-35.2,26.7,26.8,0.01,26.9,17,76.3,24.61111111,37509.4,-2.8,-2.8,98,8.15,-0.019,0.258,0.143
7/15/21,10:42:46 AM,Buddjuly2021,,47.16666,-95.17491,722.3,7.19,-16.5,-35.1,26.5,26.8,0.01,26.9,17,75.7,24.27777778,37764.4,-2.8,-2.8,97,8.12,0.313,0.493,0.379
7/15/21,10:43:40 AM,Buddjuly2021,,47.16668,-95.1749,722.3,7.18,-16.2,-35.2,26.3,26.8,0.01,26.8,17,75.4,24.11111111,37993.9,-2.7,-2.7,96.7,8.12,1.019,0.991,0.876
7/15/21,10:45:51 AM,Buddjuly2021,,47.16664,-95.17493,722.3,7.15,-14.3,-34.9,26.4,26.9,0.01,26.9,17,75.3,24.05555556,37921.9,-2.7,-2.7,94.5,7.95,1.744,1.502,1.385
7/15/21,10:48:28 AM,Buddjuly2021,,47.16667,-95.17492,722.3,7.03,-7.6,-32.2,26.3,26.9,0.01,27,18,74.8,23.77777778,37993.9,-2.6,-2.6,93,7.87,2.395,1.96,1.849
7/15/21,10:52:08 AM,Buddjuly2021,,47.16665,-95.1749,722.4,7.34,-24.8,-19.7,23.9,25.9,0.01,26.1,17,69.5,20.83333333,41911.1,-2,-2,125.6,11.23,3.171,2.506,2.391
7/15/21,10:59:11 AM,Buddjuly2021,,47.16666,-95.17491,722.3,6.84,3.5,7,21.8,25.5,0.01,25.8,17,63.4,17.44444444,45787.5,-1.3,-1.3,111.9,10.72,3.867,2.995,2.881
7/15/21,11:03:01 AM,Buddjuly2021,,47.16663,-95.1749,722.3,6.73,9.3,16.9,20.3,25.7,0.01,26.1,17,57.1,13.94444444,49285.4,-0.7,-0.7,98.2,10.14,4.594,3.505,3.394
7/15/21,11:07:45 AM,Buddjuly2021,,47.16664,-95.1749,722.3,6.63,14.6,25.3,19.2,26.2,0.01,26.6,17,52,11.11111111,51975.1,-0.4,-0.4,84.1,9.26,5.272,3.98,3.871
7/15/21,11:14:00 AM,Buddjuly2021,,47.16665,-95.17492,722.3,6.34,30,11,19,27.6,0.01,28.1,18,47.6,8.666666667,52659.3,-0.2,-0.2,33.1,3.86,6.014,4.501,4.386
7/15/21,11:31:20 AM,Buddjuly2021,,47.16666,-95.17493,722.2,6.24,35,-88.8,19.8,29.8,0.01,30.3,19,45.3,7.388888889,50607.3,-0.1,-0.1,-2.1,-0.25,6.723,4.999,4.886
7/15/21,11:37:09 AM,Buddjuly2021,,47.16667,-95.1749,722.3,6.2,37.4,-95.1,20.7,32.1,0.01,32.7,21,43.6,6.444444444,48239.3,-0.1,0,-2.9,-0.36,7.422,5.49,5.379
7/15/21,11:40:29 AM,Buddjuly2021,,47.16668,-95.17493,722.4,6.24,35.2,-99.9,24.2,38.4,0.02,39,25,42.1,5.611111111,41322.3,0,0,-3.1,-0.39,8.144,5.998,5.883
7/15/21,11:45:41 AM,Buddjuly2021,,47.16668,-95.1749,722.3,6.27,33.5,-119.9,26.6,42.7,0.02,43.3,28,41.5,5.277777778,37636.4,0,0,-3.3,-0.41,8.858,6.5,6.386
7/15/21,11:48:00 AM,Buddjuly2021,,47.16667,-95.17491,722.3,6.28,33,-174,28.1,45.4,0.02,46.1,30,41.1,5.055555556,35612.5,0,0,-3.3,-0.42,9.573,7.003,6.892
7/15/21,11:50:49 AM,Buddjuly2021,,47.16668,-95.17492,722.3,6.28,32.9,-183.2,29.8,48.4,0.02,49.1,31,40.8,4.888888889,33568.3,0,0,-3.3,-0.43,10.288,7.505,7.392
7/15/21,11:53:44 AM,Buddjuly2021,,47.16664,-95.17494,722.3,6.26,33.7,-188.1,31.5,51.3,0.02,52,33,40.6,4.777777778,31736,0,0,-3.4,-0.44,10.98,7.992,7.88
7/15/21,12:06:28 PM,Buddjuly2021,,47.16663,-95.17494,722.1,6.25,34.4,-306.2,35.7,58.3,0.03,59.1,38,40.4,4.666666667,28034.8,0,0.1,-3.5,-0.45,12.424,9.008,8.891
7/15/21,12:09:03 PM,Buddjuly2021,,47.16663,-95.17491,722.1,6.24,35,-395.3,41.7,68.2,0.03,69.2,44,40.4,4.666666667,23980.8,0,0.1,-3.5,-0.45,13.836,10,9.885
