KorDSS MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,10/8/21 0:51,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,TIME,SITE,DATA ID,GPS Latitude (),GPS Longitude (),Barometer (mmHg),ODO (% Sat),ODO (mg/L),ODO (% LocalB),Turbidity (FNU),TSS (mg/L),Chlorophyll (RFU),Chlorophyll (g/L),PC (RFU),PC (ug/L),Cond (S/cm),Sp Cond (S/cm),Sal (psu),nLFCond (S/cm),TDS (mg/L),Temp (F),Sigma-T (s t),Sigma (s),Pressure (psi a),Depth (m),Vertical Position (m)
10/6/21,11:36:31 AM,Budd,,47.16666,-95.17498,725.3,99.6,8.58,104.3,15.41,0,1,0.2,0.79,-0.25,-0.7,-0.7,0,-0.7,0,73,-2.4,-2.4,-0.101,0.201,0.13
10/6/21,11:36:55 AM,Budd,,47.16666,-95.17502,725.4,99.5,8.54,104.3,15.43,0,0.92,0.15,0.76,-0.27,-0.7,-0.7,0,-0.7,0,73.4,-2.5,-2.5,-0.099,0.202,0.131
10/6/21,11:44:56 AM,Budd,,47.16666,-95.175,725.1,98.7,9.57,103.5,3.62,0,5.02,3.04,0.6,-0.41,21.3,25.2,0.01,25.5,16,62.4,-1.2,-1.2,-0.101,0.201,0.126
10/6/21,11:46:42 AM,Budd,,47.16665,-95.17498,725.2,99.3,9.65,104.1,3.58,0,7.14,4.54,0.81,-0.24,21.1,25.1,0.01,25.4,16,62.1,-1.2,-1.2,0.281,0.47,0.4
10/6/21,11:47:08 AM,Budd,,47.16666,-95.17498,725.2,99.3,9.65,104,3.55,0,7.2,4.58,0.91,-0.15,21.1,25.1,0.01,25.4,16,62.1,-1.2,-1.2,0.306,0.487,0.415
10/6/21,11:47:37 AM,Budd,,47.16666,-95.17499,725.1,98.9,9.66,103.7,3.7,0,9.02,5.87,1.07,-0.02,21,25.1,0.01,25.4,16,61.8,-1.1,-1.1,1.072,1.027,0.945
10/6/21,11:49:02 AM,Budd,,47.16666,-95.17498,725.2,98.3,9.62,103,3.82,0,9.78,6.41,1.25,0.14,21,25.1,0.01,25.4,16,61.5,-1.1,-1.1,1.742,1.498,1.424
10/6/21,11:49:26 AM,Budd,,47.16666,-95.17499,725.1,98.2,9.61,102.9,3.56,0,9.8,6.42,1.25,0.14,21,25.1,0.01,25.4,16,61.6,-1.1,-1.1,1.78,1.525,1.445
10/6/21,11:50:23 AM,Budd,,47.16666,-95.17498,725.1,97.5,9.56,102.1,3.82,0,9.55,6.24,1.35,0.22,20.9,25.1,0.01,25.4,16,61.4,-1.1,-1.1,2.446,1.994,1.919
10/6/21,11:50:41 AM,Budd,,47.16666,-95.17499,725.2,97.5,9.56,102.2,3.74,0,9.85,6.46,1.34,0.21,20.9,25.1,0.01,25.5,16,61.4,-1.1,-1.1,2.446,1.993,1.923
10/6/21,11:51:38 AM,Budd,,47.16666,-95.17499,725.2,95.5,9.43,100.1,6.68,0,13.26,8.87,3.01,1.62,20.8,25.1,0.01,25.4,16,60.8,-1,-1,3.146,2.487,2.416
10/6/21,11:51:57 AM,Budd,,47.16666,-95.17499,725.1,95.6,9.43,100.2,6.72,0,15.09,10.16,3.13,1.72,20.8,25.1,0.01,25.5,16,60.8,-1,-1,3.154,2.492,2.416
10/6/21,11:52:40 AM,Budd,,47.16666,-95.17499,725.1,69,6.89,72.4,5.32,0,11.68,7.75,2.89,1.52,20.7,25.3,0.01,25.7,16,59.9,-1,-0.9,3.84,2.974,2.906
10/6/21,11:53:00 AM,Budd,,47.16666,-95.17499,725.1,66.8,6.66,70,5.53,0,8.51,5.51,2.82,1.46,20.8,25.4,0.01,25.7,16,59.9,-1,-0.9,3.848,2.98,2.903
10/6/21,11:54:04 AM,Budd,,47.16665,-95.17501,725.1,15.3,1.54,16,3.81,0,6.2,3.87,1.51,0.36,18.5,22.9,0.01,23.3,15,58.9,-0.9,-0.9,4.562,3.482,3.405
10/6/21,11:55:11 AM,Budd,,47.16666,-95.17499,725.2,3,0.31,3.1,3.38,0,9.03,5.88,1.28,0.17,28.4,36,0.02,36.6,23,57.2,-0.7,-0.7,5.302,4.002,3.91
10/6/21,11:55:21 AM,Budd,,47.16665,-95.17498,725.2,2.4,0.25,2.6,3.29,0,9.07,5.9,1.32,0.2,28.6,36.2,0.02,36.8,24,57.2,-0.7,-0.7,5.287,3.992,3.945
10/6/21,11:56:05 AM,Budd,,47.16666,-95.17497,725.1,0.8,0.09,0.9,6.02,0,7.29,4.65,1.04,-0.04,25.5,34,0.01,34.6,22,53.5,-0.5,-0.5,5.974,4.474,4.41
10/6/21,11:56:39 AM,Budd,,47.16666,-95.175,725.1,0.4,0.04,0.4,6.13,0,7.35,4.69,1.09,0,25.6,34.1,0.01,34.7,22,53.3,-0.5,-0.4,6.006,4.496,4.415
10/6/21,11:57:41 AM,Budd,,47.16666,-95.175,725.1,-0.5,-0.05,-0.5,7.7,0,9.77,6.4,1.84,0.63,25.8,36,0.02,36.6,23,50.4,-0.3,-0.3,6.668,4.961,4.886
10/6/21,11:58:11 AM,Budd,,47.16666,-95.175,725.2,-0.6,-0.06,-0.6,7.82,0,9.81,6.43,1.86,0.65,26,36.3,0.02,37,24,50.2,-0.3,-0.3,6.665,4.959,4.882
