KorDSS MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,10/8/21 0:52,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,TIME,SITE,DATA ID,GPS Latitude (),GPS Longitude (),Barometer (mmHg),Cond (S/cm),Sp Cond (S/cm),Sal (psu),nLFCond (S/cm),TDS (mg/L),Temp (F),Sigma-T (s t),Sigma (s),ODO (% Sat),ODO (mg/L),ODO (% LocalB),Turbidity (FNU),TSS (mg/L),Chlorophyll (RFU),Chlorophyll (g/L),PC (RFU),PC (ug/L),Pressure (psi a),Depth (m),Vertical Position (m)
10/7/21,9:03:47 AM,Deming,,47.17029,-95.16815,724.1,111.2,130.2,0.06,131.9,85,63.2,-1.2,-1.2,97.3,9.34,102.1,1.52,0,1.91,0.85,0.35,-0.62,-0.097,0.203,0.113
10/7/21,9:05:04 AM,Deming,,47.17027,-95.16815,724.1,111.1,130.2,0.06,131.8,85,63.2,-1.2,-1.2,97,9.31,101.8,1.53,0,2.35,1.15,0.39,-0.59,0.317,0.495,0.407
10/7/21,9:05:40 AM,Deming,,47.17029,-95.16815,724,111.1,130.2,0.06,131.8,85,63.2,-1.2,-1.2,96.9,9.3,101.8,1.47,0,2.23,1.07,0.38,-0.6,0.318,0.496,0.405
10/7/21,9:06:16 AM,Deming,,47.1703,-95.16816,724,111,130.1,0.06,131.8,85,63.2,-1.2,-1.2,97,9.3,101.8,1.46,0,2.07,0.96,0.38,-0.6,1.083,1.034,0.945
10/7/21,9:06:42 AM,Deming,,47.1703,-95.16813,724,111.1,130.1,0.06,131.8,85,63.2,-1.2,-1.2,96.9,9.3,101.8,1.44,0,1.98,0.89,0.38,-0.6,1.07,1.025,0.935
10/7/21,9:07:51 AM,Deming,,47.17028,-95.16813,724,111,130.1,0.06,131.8,85,63.2,-1.2,-1.2,96.9,9.31,101.8,1.58,0,2.13,1,0.39,-0.58,1.751,1.505,1.413
10/7/21,9:08:11 AM,Deming,,47.17028,-95.16814,724,111,130.1,0.06,131.7,85,63.2,-1.2,-1.2,96.9,9.3,101.8,1.44,0,2.4,1.19,0.39,-0.58,1.748,1.503,1.413
10/7/21,9:09:36 AM,Deming,,47.17029,-95.16816,724,111,130.1,0.06,131.8,85,63.2,-1.2,-1.2,96.9,9.3,101.7,1.38,0,2.12,1,0.36,-0.61,2.569,2.081,1.981
10/7/21,9:09:51 AM,Deming,,47.1703,-95.16816,724,111,130.1,0.06,131.8,85,63.2,-1.2,-1.2,96.9,9.3,101.7,1.46,0,2.27,1.1,0.41,-0.57,2.449,1.996,1.907
10/7/21,9:10:09 AM,Deming,,47.1703,-95.16816,724.1,111,130.1,0.06,131.8,85,63.2,-1.2,-1.2,96.8,9.29,101.6,1.4,0,2.23,1.07,0.38,-0.6,2.447,1.994,1.905
10/7/21,9:10:43 AM,Deming,,47.1703,-95.16815,724.1,111,130.3,0.06,131.9,85,63,-1.2,-1.2,95.1,9.14,99.8,1.49,0,2.4,1.19,0.43,-0.56,3.182,2.512,2.424
10/7/21,9:11:04 AM,Deming,,47.1703,-95.16814,724,110.9,130.2,0.06,131.8,85,63,-1.2,-1.2,95.1,9.14,99.9,1.98,0,2.36,1.16,0.41,-0.57,3.185,2.514,2.422
