KorDSS MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,6/16/22 15:51,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,TIME,SITE,DATA ID,GPS Latitude (),GPS Longitude (),Barometer (mmHg),Pressure (psi a),Depth (m),Vertical Position (m),Turbidty (FNU),TSS (mg/L),Cond (S/cm),Sp Cond (S/cm),Sal (psu),nLFCond (S/cm),TDS (mg/L),Temp (F),Sigma-T (s t),Sigma (s),ODO (% Sat),ODO (mg/L),ODO (% LocalB),pH,pH (mV),ORP (mV)
5/17/22,4:09:43 PM,buddsensr,,47.16703,-95.17487,721,-0.024,0.255,0.234,7.02,0,-0.3,-0.4,0,-0.4,0,56.4,-0.7,-0.7,107.4,11.17,113.2,6.46,11.5,195.7
5/17/22,4:10:16 PM,buddsensr,,47.16699,-95.17482,721.1,-0.022,0.256,0.235,8.65,0,-0.4,-0.5,0,-0.5,0,55.6,-0.6,-0.6,109.6,11.52,115.6,6.61,3,190.5
5/17/22,4:18:54 PM,buddsensr,,47.16711,-95.17514,721,0.261,0.456,0.246,1.76,0,21.6,25,0.01,25.3,16,64.1,-1.4,-1.4,122.5,11.64,129.1,6.89,-12.3,219.3
5/17/22,4:19:13 PM,buddsensr,,47.16714,-95.17515,720.9,0.052,0.309,0.348,1.73,0,21.7,25,0.01,25.3,16,64.3,-1.4,-1.4,122.7,11.63,129.3,6.93,-14.7,215.9
5/17/22,4:20:01 PM,buddsensr,,47.16723,-95.17513,720.9,0.224,0.429,0.406,1.69,0,21.7,25,0.01,25.3,16,64.4,-1.4,-1.4,123.1,11.65,129.7,7,-18.2,208.8
5/17/22,4:20:11 PM,buddsensr,,47.16723,-95.17512,720.9,0.221,0.427,0.405,1.69,0,21.7,25,0.01,25.3,16,64.4,-1.4,-1.4,123.3,11.67,130,7.01,-18.9,207.5
5/17/22,4:20:38 PM,buddsensr,,47.16722,-95.17505,721,0.236,0.438,0.42,1.68,0,21.7,25,0.01,25.3,16,64.3,-1.4,-1.4,123.4,11.69,130.1,7,-18.2,205.8
5/17/22,4:21:40 PM,buddsensr,,47.16709,-95.17489,720.8,1,0.976,0.964,1.86,0,20.3,24.8,0.01,25.1,16,59.9,-1,-1,120,11.97,126.5,6.99,-17.9,202.7
5/17/22,4:25:39 PM,buddsensr,,47.16698,-95.17473,720.8,1.119,1.06,1.036,1.88,0,20.3,24.9,0.01,25.3,16,59.6,-0.9,-0.9,120.2,12.03,126.8,7.05,-21,192.3
5/17/22,4:26:32 PM,buddsensr,,47.16701,-95.17478,720.9,1.125,1.064,1.04,1.85,0,20.4,24.9,0.01,25.2,16,59.9,-1,-1,121.1,12.08,127.6,7.08,-22.9,190.4
5/17/22,4:27:42 PM,buddsensr,,47.16709,-95.17487,720.9,1.941,1.638,1.618,1.97,0,19.5,25.2,0.01,25.7,16,55.6,-0.6,-0.6,121.6,12.79,128.2,6.99,-17.8,195.1
5/17/22,4:28:17 PM,buddsensr,,47.16709,-95.17484,720.8,1.733,1.491,1.467,1.93,0,19.8,25.1,0.01,25.5,16,57.1,-0.7,-0.7,128.5,13.26,135.5,7.09,-23.6,189.5
5/17/22,4:29:45 PM,buddsensr,,47.1671,-95.17464,720.9,1.589,1.39,1.369,1.97,0,20.1,24.8,0.01,25.2,16,59,-0.9,-0.9,121.1,12.21,127.7,6.97,-16.8,190.7
5/17/22,4:30:15 PM,buddsensr,,47.16705,-95.17455,720.9,1.818,1.552,1.566,1.99,0,19.8,25.1,0.01,25.5,16,57.2,-0.7,-0.7,123.1,12.68,129.8,7.02,-19.5,190.9
5/17/22,4:30:37 PM,buddsensr,,47.16701,-95.17457,720.9,2.59,2.094,2.132,1.83,0,17.8,26.4,0.01,26.9,17,46.1,-0.1,-0.1,115.3,13.7,121.6,6.95,-15.8,194
5/17/22,4:31:08 PM,buddsensr,,47.16702,-95.17462,720.7,1.939,1.636,1.593,2.02,0,19.1,25.4,0.01,25.8,17,53.8,-0.5,-0.5,125.8,13.54,132.6,6.9,-12.9,192.9
5/17/22,4:31:25 PM,buddsensr,,47.16703,-95.1747,720.9,2.431,1.981,1.975,1.94,0,17.9,26.2,0.01,26.7,17,47.2,-0.2,-0.2,119.9,14.05,126.4,6.95,-15.9,193.5
5/17/22,4:31:31 PM,buddsensr,,47.16703,-95.17471,720.7,2.456,1.999,1.982,1.94,0,17.8,26.1,0.01,26.5,17,47.2,-0.2,-0.2,118.9,13.93,125.4,6.93,-14.7,193.4
5/17/22,4:31:42 PM,buddsensr,,47.16701,-95.17474,720.9,2.468,2.007,1.99,1.95,0,17.8,26.1,0.01,26.6,17,47,-0.2,-0.1,116.8,13.72,123.1,6.9,-13.1,193.2
5/17/22,4:32:07 PM,buddsensr,,47.16702,-95.17478,720.7,3.223,2.538,2.539,1.85,0,17.5,26.7,0.01,27.1,17,44.4,-0.1,-0.1,110.5,13.45,116.6,6.78,-6.8,197.6
5/17/22,4:32:21 PM,buddsensr,,47.16703,-95.1748,720.8,3.238,2.549,2.545,1.84,0,17.6,27.1,0.01,27.5,18,44.2,-0.1,-0.1,105.6,12.89,111.3,6.63,1.4,202.2
5/17/22,4:32:46 PM,buddsensr,,47.16705,-95.17487,720.7,3.318,2.605,2.578,1.84,0,17.8,27.3,0.01,27.8,18,44.2,-0.1,-0.1,100.4,12.24,105.8,6.51,7.7,205.2
