KorDSS MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,5/18/22 19:44,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,TIME,SITE,DATA ID,GPS Latitude (),GPS Longitude (),Barometer (mmHg),ODO (% Sat),ODO (mg/L),ODO (% LocalB),Cond (S/cm),Sp Cond (S/cm),Sal (psu),nLFCond (S/cm),TDS (mg/L),Temp (F),Sigma-T (s t),Sigma (s),Turbidity (FNU),TSS (mg/L),pH,pH (mV),ORP (mV),Pressure (psi a),Depth (m),Vertical Position (m)
5/18/22,10:22:06 AM,josephmay182022,,47.16313,-95.1659,717.1,123,12.29,130.3,50.6,62,0.03,62.9,40,59.8,-0.9,-0.9,0.69,0,7.67,-55.8,193.1,0.124,0.359,0.28
5/18/22,10:23:01 AM,josephmay182022,,47.16311,-95.16592,717.1,123.5,12.34,130.9,50.6,61.9,0.03,62.9,40,59.8,-0.9,-0.9,0.71,0,7.69,-56.8,191.1,0.194,0.408,0.4
5/18/22,10:23:29 AM,josephmay182022,,47.16312,-95.16591,717.1,123.1,12.37,130.4,50.3,62,0.03,62.9,40,59.2,-0.9,-0.9,0.74,0,7.69,-56.5,191.5,1.639,1.425,1.37
5/18/22,10:25:31 AM,josephmay182022,,47.16306,-95.16596,717,122.7,12.41,130,50,62,0.03,62.9,40,58.7,-0.9,-0.8,0.8,0,7.69,-56.9,188.9,2.061,1.722,1.621
5/18/22,10:27:11 AM,josephmay182022,,47.16306,-95.16588,717,123.1,12.42,130.5,50.2,62.1,0.03,63,40,58.9,-0.9,-0.9,0.76,0,7.68,-56.4,189,2.001,1.68,1.819
5/18/22,10:29:16 AM,josephmay182022,,47.16302,-95.16593,716.9,120.9,12.55,128.2,48.7,62.1,0.03,63.1,40,56.7,-0.7,-0.7,0.93,0,7.57,-49.7,188.8,2.538,2.058,1.904
5/18/22,10:29:59 AM,josephmay182022,,47.16308,-95.16597,717.1,122.7,12.64,130,49.1,62.1,0.03,63.1,40,57.3,-0.7,-0.7,0.88,0,7.53,-47.8,189.4,2.452,1.997,1.923
5/18/22,10:30:24 AM,josephmay182022,,47.16313,-95.16595,717.1,102.2,12.03,108.3,42.7,62.7,0.03,63.8,41,46.8,-0.1,-0.1,1.24,0,7.21,-29.9,199.4,4.865,3.693,3.63
5/18/22,10:31:06 AM,josephmay182022,,47.16311,-95.16593,717,109.3,12.14,115.8,45.7,63,0.03,64.1,41,51.2,-0.3,-0.3,1.04,0,7.22,-30.2,198,3.335,2.617,2.671
5/18/22,10:32:11 AM,josephmay182022,,47.16309,-95.16595,717.1,97.5,11.3,103.3,43.2,62.4,0.03,63.5,41,48,-0.2,-0.2,1.18,0,7.11,-24.5,200.9,4.087,3.146,3.012
