KorDSS MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,6/16/22 15:47,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,TIME,SITE,DATA ID,GPS Latitude (),GPS Longitude (),Barometer (mmHg),Turbidty (FNU),TSS (mg/L),Pressure (psi a),Depth (m),Vertical Position (m),Cond (S/cm),Sp Cond (S/cm),Sal (psu),nLFCond (S/cm),TDS (mg/L),Temp (F),Sigma-T (s t),Sigma (s),ODO (% Sat),ODO (mg/L),ODO (% LocalB),pH,pH (mV),ORP (mV)
5/19/22,9:42:19 AM,arcomay192022,,47.16553,-95.16814,712.3,1.64,0,0.347,0.516,0.354,59,72.2,0.03,73.2,47,59.8,-0.9,-0.9,120.7,12.04,128.7,7.96,-71.8,93.9
5/19/22,9:43:41 AM,arcomay192022,,47.16555,-95.16818,712.3,1.61,0,0.291,0.477,0.197,59.1,72.1,0.03,73.2,47,59.9,-1,-0.9,121.6,12.13,129.8,7.99,-73.4,90.9
5/19/22,9:44:04 AM,arcomay192022,,47.16554,-95.1682,712.3,1.96,0,1.532,1.35,1.251,59,73.2,0.03,74.3,48,58.7,-0.9,-0.8,131.2,13.26,140,8.79,-117.6,78
5/19/22,9:44:57 AM,arcomay192022,,47.16552,-95.16823,712.3,1.91,0,1.446,1.289,1.128,58.9,72.4,0.03,73.5,47,59.4,-0.9,-0.9,146.1,14.66,155.9,8.51,-101.9,79.8
5/19/22,9:45:40 AM,arcomay192022,,47.16552,-95.16822,712.2,1.94,0,1.338,1.213,1.072,59.1,72.3,0.03,73.4,47,59.8,-0.9,-0.9,127.3,12.72,135.9,8.11,-80,88.9
5/19/22,9:46:19 AM,arcomay192022,,47.16555,-95.16825,712.3,2.17,0,1.815,1.549,1.344,59,77.3,0.04,78.6,50,54.6,-0.5,-0.5,158.1,16.84,168.7,9.09,-133.4,73.3
5/19/22,9:46:25 AM,arcomay192022,,47.16555,-95.16825,712.2,2.19,0,1.714,1.478,1.339,58.3,75.6,0.03,76.8,49,55.5,-0.6,-0.6,160.1,16.88,170.9,9.05,-131.3,73.2
5/19/22,9:47:20 AM,arcomay192022,,47.16555,-95.16817,712.3,1.88,0,1.623,1.414,1.275,59.3,74.7,0.03,75.9,49,57.6,-0.8,-0.8,160.9,16.49,171.6,9.01,-129.3,73.1
5/19/22,9:47:36 AM,arcomay192022,,47.16555,-95.16815,712.3,2.44,0,2.728,2.19,2.181,65.6,93.2,0.04,94.8,61,49.1,-0.2,-0.2,154.8,17.68,165.2,9.16,-136.1,77.2
5/19/22,9:48:29 AM,arcomay192022,,47.16552,-95.1681,712.3,2.29,0,2.623,2.116,1.974,65.9,94,0.04,95.7,61,48.8,-0.2,-0.2,168.4,19.3,179.7,9.18,-137,78.1
5/19/22,9:48:34 AM,arcomay192022,,47.16552,-95.1681,712.3,2.32,0,2.633,2.124,2.021,65.9,93.9,0.04,95.6,61,48.9,-0.2,-0.2,168.4,19.28,179.7,9.18,-137,78.4
5/19/22,9:48:47 AM,arcomay192022,,47.16551,-95.16809,712.3,3.18,0,3.352,2.629,2.538,67.3,100.7,0.05,102.4,65,45.7,-0.1,-0.1,165.1,19.72,176.1,9.18,-136,80.8
5/19/22,9:49:03 AM,arcomay192022,,47.16551,-95.16808,712.3,2.96,0,3.073,2.433,2.316,67.6,100.2,0.05,101.9,65,46.3,-0.1,-0.1,166.2,19.7,177.3,9.18,-136.5,81
5/19/22,9:49:53 AM,arcomay192022,,47.1655,-95.16813,712.3,2.66,0,3.082,2.44,2.299,67.7,100.1,0.05,101.8,65,46.5,-0.1,-0.1,167.9,19.84,179.1,9.22,-138.3,81.1
5/19/22,9:50:16 AM,arcomay192022,,47.1655,-95.16814,712.3,3.71,0,3.961,3.057,2.967,66,101.9,0.05,103.6,66,43.8,0,0,160.5,19.67,171.2,9.09,-131.1,85.4
5/19/22,9:51:07 AM,arcomay192022,,47.1655,-95.16817,712.2,3.41,0,4.003,3.087,2.947,65.6,101.8,0.05,103.4,66,43.6,0,0,154.2,18.98,164.5,9.08,-130.4,88.1
5/19/22,9:51:53 AM,arcomay192022,,47.16551,-95.16826,712.2,3.62,0,4.836,3.672,3.5,64.4,102.3,0.05,103.9,67,42,0,0,140.7,17.7,150.1,8.66,-107.7,99.2
5/19/22,9:52:00 AM,arcomay192022,,47.16551,-95.16827,712.3,3.45,0,4.797,3.645,3.509,64.3,102.3,0.05,103.9,67,42,0,0,139.4,17.55,148.8,8.6,-104.1,100.7
5/19/22,9:52:47 AM,arcomay192022,,47.16552,-95.16828,712.2,3.75,0,4.818,3.659,3.522,64.3,102.5,0.05,104,67,41.9,0,0,134.9,17.01,144,8.62,-105.2,101.5
5/19/22,9:52:58 AM,arcomay192022,,47.16551,-95.16827,712.2,3.86,0,4.813,3.656,3.513,64.3,102.5,0.05,104.1,67,41.8,0,0,133.8,16.87,142.8,8.53,-100.4,103.9
5/19/22,9:53:27 AM,arcomay192022,,47.1655,-95.16826,712.2,3.45,0,5.455,4.107,3.953,63.9,102.6,0.05,104.2,67,41.4,0,0,121.2,15.38,129.3,7.95,-69.4,114.3
5/19/22,9:53:31 AM,arcomay192022,,47.1655,-95.16826,712.3,3.57,0,5.446,4.101,3.956,63.8,102.6,0.05,104.1,67,41.4,0,0,119.9,15.22,128,7.89,-65.9,115.9
5/19/22,9:53:46 AM,arcomay192022,,47.16549,-95.16824,712.3,2.91,0,5.408,4.074,3.934,63.9,102.6,0.05,104.1,67,41.4,0,0,113.5,14.39,121.1,7.7,-55.8,120.9
5/19/22,9:54:08 AM,arcomay192022,,47.16549,-95.16824,712.2,3.55,0,5.411,4.077,3.932,63.9,102.8,0.05,104.3,67,41.3,0,0,107.3,13.64,114.5,7.56,-48.2,125.5
5/19/22,9:54:26 AM,arcomay192022,,47.16551,-95.16825,712.3,3.17,0,5.392,4.063,3.924,63.9,102.7,0.05,104.2,67,41.4,0,0,104.6,13.28,111.6,7.47,-43.5,128.1
5/19/22,9:54:47 AM,arcomay192022,,47.16552,-95.16824,712.3,4,0,6.202,4.632,4.494,63.6,103.1,0.05,104.6,67,40.9,0,0,100.3,12.82,107,7.37,-38.4,131.3
5/19/22,9:55:01 AM,arcomay192022,,47.16552,-95.16823,712.3,3.62,0,5.999,4.49,4.352,63.6,103.1,0.05,104.6,67,40.9,0,0,98.1,12.54,104.7,7.36,-37.8,132.2
5/19/22,9:55:41 AM,arcomay192022,,47.16552,-95.16817,712.3,3.81,0,6.089,4.553,4.418,63.5,102.8,0.05,104.3,67,41,0,0,92.7,11.83,98.9,7.26,-32.2,135.9
5/19/22,9:55:49 AM,arcomay192022,,47.16553,-95.16816,712.3,3.79,0,6.096,4.558,4.418,63.6,102.9,0.05,104.4,67,41,0,0,93,11.88,99.3,7.26,-32.2,136.3
5/19/22,9:56:26 AM,arcomay192022,,47.16553,-95.16813,712.2,2.79,0,6.773,5.034,4.923,64.3,104.4,0.05,105.9,68,40.7,0,0,84.2,10.79,89.8,7.15,-26.7,139.2
5/19/22,9:56:45 AM,arcomay192022,,47.16555,-95.16811,712.2,2.55,0,6.791,5.047,4.906,64.7,105.2,0.05,106.7,68,40.7,0,0,78.7,10.09,84,7.1,-23.7,140.7
5/19/22,9:57:35 AM,arcomay192022,,47.16555,-95.16808,712.2,3.57,0,6.898,5.122,5.084,64.9,105.6,0.05,107.1,69,40.7,0,0,63.2,8.11,67.5,6.98,-17.1,144.8
5/19/22,9:58:54 AM,arcomay192022,,47.16554,-95.16808,712.1,8.84,0,7.494,5.541,5.396,67,109.3,0.05,110.8,71,40.5,0,0,20,2.57,21.3,6.76,-5.5,151.2
5/19/22,9:59:43 AM,arcomay192022,,47.16554,-95.16807,712.1,9.25,0,7.489,5.537,5.395,67,109.4,0.05,111,71,40.5,0,0,14.2,1.83,15.2,6.72,-3.2,153.6
5/19/22,10:00:47 AM,arcomay192022,,47.16553,-95.16808,712.1,8.67,0,7.502,5.546,5.403,66.9,109.2,0.05,110.8,71,40.5,0,0,14.1,1.81,15,6.71,-2.9,154.8
5/19/22,10:01:18 AM,arcomay192022,,47.16552,-95.16808,712.1,13.73,0,8.217,6.049,5.964,69.5,113.9,0.05,115.5,74,40.3,0,0.1,6.7,0.87,7.2,6.67,-0.8,143.2
5/19/22,10:02:38 AM,arcomay192022,,47.16555,-95.16808,712.1,12.55,0,8.216,6.049,5.907,69.8,114.4,0.05,116,74,40.2,0,0.1,-0.2,-0.03,-0.2,6.66,0,80.7
5/19/22,10:05:04 AM,arcomay192022,,47.16559,-95.16811,712.2,11.7,0,8.336,6.133,5.988,70.9,116.3,0.05,117.9,76,40.2,0,0.1,-2.8,-0.36,-2.9,6.65,0.1,47.4
5/19/22,10:05:32 AM,arcomay192022,,47.16558,-95.16811,712.2,12.4,0,8.827,6.478,6.189,74.3,121.9,0.06,123.6,79,40.2,0,0.1,-3,-0.39,-3.3,6.64,1.1,31.3
5/19/22,10:06:21 AM,arcomay192022,,47.16558,-95.1681,712.2,12.92,0,8.638,6.345,6.202,73.4,120.5,0.06,122.2,78,40.2,0,0.1,-3.1,-0.4,-3.3,6.67,-0.9,18.8
5/19/22,10:06:59 AM,arcomay192022,,47.1656,-95.16814,712.3,7.41,0,9.591,7.015,6.717,77.4,127,0.06,128.7,83,40.2,0,0.1,-3.5,-0.46,-3.8,6.68,-1.1,5.7
5/19/22,10:07:59 AM,arcomay192022,,47.1656,-95.16826,712.2,5.25,0,9.716,7.103,7.111,79.2,129.7,0.06,131.5,84,40.3,0,0.1,-3.9,-0.5,-4.1,6.67,-0.7,-5.6
5/19/22,10:08:16 AM,arcomay192022,,47.16559,-95.16829,712.2,3.38,0,10.352,7.55,7.294,82.7,135.2,0.06,137.1,88,40.4,0,0.1,-3.9,-0.51,-4.2,6.65,0.5,-12.3
5/19/22,10:09:08 AM,arcomay192022,,47.16561,-95.16823,712.2,3.89,0,10.209,7.45,7.312,81.4,133.3,0.06,135.1,87,40.4,0,0.1,-4,-0.52,-4.3,6.65,0.5,-21.4
5/19/22,10:09:18 AM,arcomay192022,,47.16561,-95.16821,712.1,4.09,0,10.218,7.456,7.313,81.5,133.3,0.06,135.2,87,40.4,0,0.1,-4.1,-0.52,-4.3,6.65,0.4,-22.4
5/19/22,10:09:38 AM,arcomay192022,,47.1656,-95.16819,712.1,3.22,0,11.034,8.03,7.751,85.6,139.8,0.07,141.8,91,40.4,0,0.1,-4.1,-0.53,-4.4,6.62,1.7,-24.6
5/19/22,10:09:59 AM,arcomay192022,,47.16557,-95.16821,712.1,3.5,0,10.771,7.845,7.684,83.4,136.4,0.06,138.3,89,40.4,0,0.1,-4.2,-0.54,-4.5,6.64,0.8,-27.7
5/19/22,10:10:16 AM,arcomay192022,,47.16558,-95.16823,712.2,3.61,0,10.57,7.703,7.518,83,135.7,0.06,137.7,88,40.4,0,0.1,-4.2,-0.55,-4.5,6.64,0.7,-29.1
5/19/22,10:10:39 AM,arcomay192022,,47.16558,-95.16823,712.1,3.84,0,10.53,7.675,7.584,82.5,134.9,0.06,136.8,88,40.4,0,0.1,-4.3,-0.55,-4.6,6.64,0.6,-30.1
5/19/22,10:10:51 AM,arcomay192022,,47.16557,-95.16821,712.2,3.47,0,11.015,8.016,8.192,84.4,137.9,0.06,139.8,90,40.4,0,0.1,-4.3,-0.55,-4.6,6.63,1.4,-30.4
5/19/22,10:11:02 AM,arcomay192022,,47.16556,-95.16821,712.2,3.22,0,11.141,8.105,7.871,87.8,143.4,0.07,145.5,93,40.5,0,0.1,-4.3,-0.55,-4.6,6.62,2.1,-32.2
5/19/22,10:11:04 AM,arcomay192022,,47.16556,-95.16821,712.1,3.3,0,11.049,8.04,7.869,87.5,142.8,0.07,144.8,93,40.5,0,0.1,-4.3,-0.56,-4.6,6.62,1.8,-32.8
5/19/22,10:11:21 AM,arcomay192022,,47.16554,-95.1682,712.1,3.95,0,11.019,8.019,7.882,84.5,138.1,0.07,140.1,90,40.4,0,0.1,-4.3,-0.56,-4.6,6.64,1,-34.1
5/19/22,10:11:43 AM,arcomay192022,,47.16553,-95.1682,712.2,4.25,0,11.063,8.05,7.911,83.9,137.2,0.06,139.1,89,40.4,0,0.1,-4.3,-0.56,-4.6,6.64,0.9,-34.8
5/19/22,10:13:04 AM,arcomay192022,,47.16554,-95.16818,712.2,3.74,0,11.756,8.537,8.286,99.2,161.5,0.08,163.8,105,40.6,0,0.1,-4.4,-0.57,-4.7,6.59,3.7,-46.3
5/19/22,10:13:12 AM,arcomay192022,,47.16554,-95.16819,712.1,4.69,0,11.673,8.479,8.401,96.1,156.5,0.07,158.8,102,40.6,0,0.1,-4.5,-0.58,-4.8,6.6,3.1,-47.2
5/19/22,10:13:51 AM,arcomay192022,,47.16554,-95.16822,712.1,3.64,0,11.804,8.571,8.411,96.7,157.6,0.07,159.8,102,40.6,0,0.1,-4.6,-0.59,-4.9,6.59,3.5,-49.2
5/19/22,10:14:24 AM,arcomay192022,,47.16556,-95.16823,712.1,4.31,0,12.474,9.042,8.991,103.4,168.4,0.08,170.8,109,40.7,0,0.1,-4.6,-0.6,-5,6.56,4.9,-50.7
5/19/22,10:15:01 AM,arcomay192022,,47.16555,-95.16824,712.1,4.52,0,12.346,8.952,8.838,103.1,167.7,0.08,170.2,109,40.7,0,0.1,-4.7,-0.6,-5,6.58,4.3,-54.3
5/19/22,10:15:16 AM,arcomay192022,,47.16556,-95.16825,712,4.68,0,12.421,9.004,8.863,104.7,170.3,0.08,172.8,111,40.7,0,0.1,-4.7,-0.6,-5,6.57,4.7,-55.1
5/19/22,10:16:10 AM,arcomay192022,,47.16558,-95.16825,712.1,4.34,0,13.199,9.552,9.427,110.1,179.1,0.08,181.7,116,40.7,0,0.1,-4.8,-0.62,-5.1,6.56,5.4,-59.3
5/19/22,10:16:29 AM,arcomay192022,,47.1656,-95.16825,712.1,4.29,0,13.18,9.538,9.396,110.3,179.4,0.08,182,117,40.7,0,0.1,-4.8,-0.62,-5.1,6.56,5.3,-60.5
5/19/22,10:16:56 AM,arcomay192022,,47.1656,-95.16824,712,4.46,0,13.161,9.525,9.381,110.5,179.7,0.09,182.3,117,40.7,0,0.1,-4.8,-0.62,-5.1,6.56,5.2,-62.2
5/19/22,10:17:41 AM,arcomay192022,,47.16557,-95.16821,712,4.9,0,13.437,9.719,9.756,111,180.5,0.09,183.1,117,40.7,0,0.1,-4.9,-0.63,-5.3,6.55,5.4,-64
5/19/22,10:17:56 AM,arcomay192022,,47.16557,-95.1682,712,4.76,0,13.544,9.794,9.661,110.9,180.3,0.09,182.9,117,40.7,0,0.1,-4.9,-0.63,-5.3,6.56,5.3,-64.9
5/19/22,10:20:17 AM,arcomay192022,,47.16549,-95.16815,712,9.78,0,15.892,11.445,11.511,111.5,181.3,0.09,183.9,118,40.7,0,0.1,23.9,3.07,25.6,6.63,1.5,-45.1
5/19/22,10:21:13 AM,arcomay192022,,47.16549,-95.16815,712,6.63,0,16.044,11.552,11.422,111.5,181.3,0.09,183.9,118,40.7,0,0.1,4.2,0.54,4.5,6.57,4.5,-54.1
