KorDSS MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,6/16/22 15:52,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,TIME,SITE,DATA ID,GPS Latitude (),GPS Longitude (),Barometer (mmHg),pH,pH (mV),ORP (mV),Cond (S/cm),Sp Cond (S/cm),Sal (psu),nLFCond (S/cm),TDS (mg/L),Temp (F),Sigma-T (s t),Sigma (s),Turbidty (FNU),TSS (mg/L),ODO (% Sat),ODO (mg/L),ODO (% LocalB),Pressure (psi a),Depth (m),Vertical Position (m)
5/20/22,9:02:32 AM,Deming cmo 05202022,,47.17018,-95.16811,706.9,8.38,-99.3,159.9,95.9,116.1,0.05,117.7,75,60.6,-1,-1,1.75,0,135.1,13.36,145.3,-0.001,0.271,0.057
5/20/22,9:04:34 AM,Deming cmo 05202022,,47.17021,-95.16807,706.7,8.39,-100,159.2,95.9,116.1,0.05,117.8,75,60.6,-1,-1,1.82,0,135.2,13.38,145.4,1.01,0.983,0.772
5/20/22,9:06:33 AM,Deming cmo 05202022,,47.17019,-95.16811,706.7,8.36,-97.9,161.3,95.8,116.1,0.05,117.7,75,60.5,-1,-1,1.72,0,139.3,13.79,149.8,1.704,1.471,1.269
5/20/22,9:09:00 AM,Deming cmo 05202022,,47.17017,-95.16808,706.8,8.26,-92,164.6,91.5,116.2,0.05,118,76,57,-0.7,-0.7,1.84,0,156.8,16.2,168.6,2.39,1.954,1.742
5/20/22,9:10:45 AM,Deming cmo 05202022,,47.17021,-95.16808,706.6,7.84,-67.7,177.6,86.3,119.5,0.06,121.7,78,50.8,-0.3,-0.3,2.12,0,143.2,16,154,3.062,2.426,2.177
5/20/22,9:12:23 AM,Deming cmo 05202022,,47.17021,-95.16811,706.6,7.39,-42.8,189.1,86.1,126,0.06,128.2,82,47.2,-0.1,-0.1,2.76,0,117.2,13.74,126.1,3.796,2.941,2.716
5/20/22,9:15:03 AM,Deming cmo 05202022,,47.17023,-95.16809,706.6,6.98,-20.6,200.7,89.4,137.1,0.06,139.4,89,44.2,0,0,3.14,0,72.1,8.79,77.5,4.455,3.405,3.194
5/20/22,9:18:45 AM,Deming cmo 05202022,,47.1702,-95.16808,706.8,6.79,-9.8,203.6,91.4,144.4,0.07,146.7,94,42.4,0,0,3.17,0,32.7,4.1,35.2,5.194,3.924,3.705
5/20/22,9:20:41 AM,Deming cmo 05202022,,47.17024,-95.16809,706.6,6.73,-6.9,204.8,92.6,149.9,0.07,152.1,97,41,0,0.1,3.14,0,7.6,0.98,8.2,5.907,4.425,4.205
5/20/22,9:22:31 AM,Deming cmo 05202022,,47.17019,-95.16808,706.7,6.73,-6.8,190.7,93.3,152.6,0.07,154.8,99,40.4,0,0.1,3.29,0,-1.2,-0.16,-1.3,6.623,4.929,4.712
5/20/22,9:24:05 AM,Deming cmo 05202022,,47.17015,-95.16805,706.7,6.72,-6.4,106.1,94.3,155.4,0.07,157.6,101,40,0,0.1,3.35,0,-3,-0.38,-3.2,7.32,5.418,5.173
5/20/22,9:25:07 AM,Deming cmo 05202022,,47.1702,-95.16804,706.6,6.72,-6.4,60.7,95.9,158.4,0.07,160.6,103,39.8,0,0.1,4.05,0,-3.5,-0.45,-3.7,7.997,5.894,5.682
