KorDSS MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,8/11/22 16:19,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,TIME,SITE,DATA ID,GPS Latitude (),GPS Longitude (),Barometer (mmHg),pH,pH (mV),ORP (mV),ODO (% Sat),ODO (mg/L),Turbidity (FNU),TSS (mg/L),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (F),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),Pressure (psi a),Depth (m),Vertical Position (m)
8/10/22,8:44:23 AM,demingCMO081022,,47.17028,-95.1681,729.1,7.78,-64.7,92.2,97,8.25,0.67,0,118.7,122.3,0.06,122.7,80,74.2,8423.9,-2.5,-2.5,0.023,0.288,0.257
8/10/22,8:46:37 AM,demingCMO081022,,47.17028,-95.16809,729.2,7.78,-64.6,93,97.2,8.26,0.74,0,118.8,122.4,0.06,122.8,80,74.2,8416.1,-2.5,-2.5,1.013,0.986,0.953
8/10/22,8:48:53 AM,demingCMO081022,,47.17028,-95.16811,729.2,7.81,-66.7,94.6,97.3,8.27,0.76,0,118.9,122.4,0.06,122.8,80,74.2,8414,-2.5,-2.5,1.655,1.438,1.404
8/10/22,8:51:47 AM,demingCMO081022,,47.17028,-95.16806,729.2,7.75,-63.3,98.1,96,8.2,0.8,0,118.4,122.5,0.06,122.9,80,73.8,8445.9,-2.5,-2.5,2.353,1.93,1.896
8/10/22,8:54:03 AM,demingCMO081022,,47.17027,-95.16809,729.2,7.66,-57.7,102.7,93.7,8.04,0.78,0,117.8,122.5,0.06,123,80,73.4,8487.5,-2.4,-2.4,3.085,2.446,2.413
8/10/22,8:56:30 AM,demingCMO081022,,47.17027,-95.16808,729.2,7.74,-62.5,103.3,102.8,8.94,1.3,0,117,123.4,0.06,124,80,72.1,8549.2,-2.2,-2.2,3.766,2.926,2.894
8/10/22,9:01:36 AM,demingCMO081022,,47.17029,-95.16811,729.2,8.64,-112.9,88.6,176.7,16.19,4.87,0,118.9,132.5,0.06,133.8,86,67.3,8409.7,-1.7,-1.6,4.473,3.422,3.389
8/10/22,9:03:03 AM,demingCMO081022,,47.17029,-95.16808,729.3,7.67,-57.3,116.7,135.2,13.34,6.83,0,115.1,139.1,0.07,141,90,60.8,8688.9,-1,-1,5.19,3.925,3.892
8/10/22,9:06:06 AM,demingCMO081022,,47.17027,-95.16808,729.3,7.12,-27,138.6,86.3,9.25,4.25,0,107.8,142.6,0.07,145,93,54,9277.3,-0.5,-0.4,5.921,4.437,4.406
8/10/22,9:08:07 AM,demingCMO081022,,47.17026,-95.16806,729.2,6.9,-14.7,146.1,57.9,6.68,4.58,0,98.1,140.9,0.07,143.4,92,48.3,10196.8,-0.2,-0.1,6.647,4.946,4.916
8/10/22,9:10:25 AM,demingCMO081022,,47.17028,-95.16806,729.3,6.61,0.9,151,24.9,2.99,6.51,0,79.8,120.4,0.06,122.4,78,45.2,12528.2,-0.1,0,7.321,5.42,5.388
8/10/22,9:13:24 AM,demingCMO081022,,47.17027,-95.16807,729.2,6.74,-6.1,135.3,1.2,0.15,14.07,0,97.8,152.2,0.07,154.6,99,43.3,10227,0,0,8.033,5.92,5.89
