Budd,,,,Josephine,,,,Deming,,,,Arco,,
Depth_m, Vol_up_m3, Vol_down_m3,,Depth_m, Vol_up_m3, Vol_down_m3,,Depth_m, Vol_up_m3, Vol_down_m3,,Depth_m, Vol_up_m3, Vol_down_m3
0,183441.2188,0,,0,313303.7188,0,,0,275424.4688,0,,0,142564.8125,0
0.5,183159.0156,282.203125,,0.5,312691.1563,612.5625,,0.5,274404.7188,1019.75,,0.5,142317.9063,246.90625
1,182243.7344,1197.484375,,1,310858.1875,2445.53125,,1,271555.5625,3868.90625,,1,141587.2344,977.578125
1.5,180812.1875,2629.03125,,1.5,307823.1875,5480.53125,,1.5,266347.3125,9077.15625,,1.5,140417.7188,2147.09375
2,178855.375,4585.84375,,2,303408.5625,9895.15625,,2,259958.5781,15465.89063,,2,138771.4531,3793.359375
2.5,176296.25,7144.96875,,2.5,297291.1563,16012.5625,,2.5,252151.2188,23273.25,,2.5,136488.75,6076.0625
3,172713.4688,10727.75,,3,289263.875,24039.84375,,3,242822,32602.46875,,3,133643.6094,8921.203125
3.5,168181.6094,15259.60938,,3.5,277991.8125,35311.90625,,3.5,230187.8594,45236.60938,,3.5,130058.1875,12506.625
4,163779.6406,19661.57813,,4,267256.1875,46047.53125,,4,215006.3438,60418.125,,4,125809.3359,16755.47656
4.5,159177.4219,24263.79688,,4.5,257379.7813,55923.9375,,4.5,202705.7031,72718.76563,,4.5,120803.1953,21761.61719
5,153918.9219,29522.29688,,5,247979.8281,65323.89063,,5,193292.9844,82131.48438,,5,115254.6328,27310.17969
5.5,147649.1406,35792.07813,,5.5,238652.3281,74651.39063,,5.5,184959.4688,90465,,5.5,109132.1094,33432.70313
6,140921.0469,42520.17188,,6,229382.0156,83921.70313,,6,176911.5,98512.96875,,6,103484.5234,39080.28906
6.5,133990.0469,49451.17188,,6.5,220013.5313,93290.1875,,6.5,169114.8125,106309.6563,,6.5,97518.89844,45045.91406
7,126821.8125,56619.40625,,7,209998.7656,103304.9531,,7,161558.9688,113865.5,,7,91100.8125,51464
7.5,119630.4922,63810.72656,,7.5,199831.75,113471.9688,,7.5,154581.0156,120843.4531,,7.5,84198.47656,58366.33594
8,112666.4531,70774.76563,,8,189058.8125,124244.9063,,8,147857.875,127566.5938,,8,76765.71875,65799.09375
8.5,106041.2891,77399.92969,,8.5,177796.5781,135507.1406,,8.5,141153.6094,134270.8594,,8.5,68061.98438,74502.82813
9,99349.39844,84091.82031,,9,165676.5781,147627.1406,,9,134786.6094,140637.8594,,9,59159.45703,83405.35938
9.5,92496.89063,90944.32813,,9.5,152388.5313,160915.1875,,9.5,128593.5,146830.9688,,9.5,50621.53516,91943.28125
10,85595.5625,97845.65625,,10,137306.5625,175997.1563,,10,122852.7734,152571.6875,,10,41662.67188,100902.1406
10.5,78742.15625,104699.0625,,10.5,112950.5156,200353.2031,,10.5,117320.0547,158104.4063,,10.5,33140.28906,109424.5234
11,71994.45313,111446.7656,,11,92726.49219,220577.2188,,11,111795.5,163628.9688,,11,25314.43359,117250.375
11.5,65280.10156,118161.1172,,11.5,74274.78906,239028.9375,,11.5,106283.2109,169141.25,,11.5,16372.27441,126192.5391
12,58299.46484,125141.75,,12,59285.40625,254018.3125,,12,100513.2031,174911.2656,,12,5197.710449,137367.1094
12.5,51216.95313,132224.2656,,12.5,48859.77344,264443.9375,,12.5,94004.67188,181419.7969,,12.5,589.4591675,141975.3594
13,43629.875,139811.3438,,13,36856.70313,276447,,13,87587.36719,187837.0938,,,,
13.5,35296.50781,148144.7188,,13.5,24684.32227,288619.4063,,13.5,82052.82813,193371.6406,,,,
14,25287.5625,158153.6563,,14,12416.47461,300887.25,,14,76594.40625,198830.0625,,,,
14.5,12202.20117,171239.0156,,,,,,14.5,71420.92969,204003.5313,,,,
15,7071.751953,176369.4688,,,,,,15,66185.32031,209239.1563,,,,
15.5,3190.877441,180250.3438,,,,,,15.5,61047.08984,214377.375,,,,
16,385.0957031,183056.125,,,,,,16,55692.27344,219732.1875,,,,
,,,,,,,,16.5,50474.58203,224949.8906,,,,
,,,,,,,,17,45147.01953,230277.4531,,,,
,,,,,,,,17.5,39697.47266,235727,,,,
,,,,,,,,18,34426.98438,240997.4844,,,,
,,,,,,,,18.5,29044.66211,246379.8125,,,,
,,,,,,,,19,23683.20313,251741.2656,,,,
,,,,,,,,19.5,18197.21875,257227.25,,,,
,,,,,,,,20,12844.97461,262579.5,,,,
,,,,,,,,20.5,8130.476563,267294,,,,
,,,,,,,,21,4438.787598,270985.6875,,,,
,,,,,,,,21.5,1209.923828,274214.5313,,,,
