# STATION: PRRM5
# STATION NAME: STRAIGHT RIVER NEAR PARK RAPIDS 4SW
# LATITUDE: 46.87917
# LONGITUDE: -95.12000
# ELEVATION [ft]: 1417
# STATE: MN
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,precip_accum_one_hour_set_1,solar_radiation_set_1,precip_accum_set_1,T_water_temp_set_1,volt_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Inches,W/m**2,Inches,Fahrenheit,volts,Fahrenheit,Fahrenheit,code,Fahrenheit
PRRM5,01/01/2020 01:00 CST,5.18,83.0,1.01,80.0,,0.0,0.0,31.89,12.2,1.09,,E,
PRRM5,01/01/2020 01:15 CST,,,,,,,0.0,31.89,,,,,
PRRM5,01/01/2020 01:30 CST,4.46,84.0,1.7,149.0,,0.0,0.0,31.89,12.2,0.65,,SSE,
PRRM5,01/01/2020 01:45 CST,,,,,,,0.0,31.89,,,,,
PRRM5,01/01/2020 02:00 CST,4.28,84.0,1.01,120.0,0.0,0.0,0.0,31.89,12.2,0.47,,ESE,
PRRM5,01/01/2020 02:15 CST,,,,,,,0.0,31.89,,,,,
PRRM5,01/01/2020 02:30 CST,4.1,84.0,1.3,120.0,,0.0,0.0,31.89,12.2,0.3,,ESE,
PRRM5,01/01/2020 02:45 CST,,,,,,,0.0,31.89,,,,,
PRRM5,01/01/2020 03:00 CST,3.56,83.0,1.01,100.0,0.0,0.0,0.0,31.89,12.2,-0.49,,E,
PRRM5,01/01/2020 03:15 CST,,,,,,,0.0,31.89,,,,,
PRRM5,01/01/2020 03:30 CST,3.2,84.0,0.69,116.0,,0.0,0.0,31.89,12.2,-0.59,,ESE,
PRRM5,01/01/2020 03:45 CST,,,,,,,0.0,31.89,,,,,
PRRM5,01/01/2020 04:00 CST,3.38,83.0,0.6,125.0,0.0,0.0,0.0,31.89,12.2,-0.67,,SE,
PRRM5,01/01/2020 04:15 CST,,,,,,,0.0,31.89,,,,,
PRRM5,01/01/2020 04:30 CST,3.02,83.0,0.49,146.0,,0.0,0.0,31.89,12.1,-1.02,,SE,
PRRM5,01/01/2020 04:45 CST,,,,,,,0.0,31.89,,,,,
PRRM5,01/01/2020 05:00 CST,2.84,83.0,0.69,100.0,0.0,0.0,0.0,31.89,12.1,-1.2,,E,
PRRM5,01/01/2020 05:15 CST,,,,,,,0.0,31.89,,,,,
PRRM5,01/01/2020 05:30 CST,2.48,83.0,0.6,162.0,,0.0,0.0,31.89,12.1,-1.55,,SSE,
PRRM5,01/01/2020 05:45 CST,,,,,,,0.0,31.89,,,,,
PRRM5,01/01/2020 06:00 CST,2.84,83.0,0.89,295.0,,0.0,0.0,31.89,12.1,-1.2,,WNW,
PRRM5,01/01/2020 06:15 CST,,,,,,,0.0,31.89,,,,,
PRRM5,01/01/2020 06:30 CST,3.38,83.0,0.89,110.0,,0.0,0.0,31.89,12.1,-0.67,,ESE,
PRRM5,01/01/2020 06:45 CST,,,,,,,0.0,31.89,,,,,
PRRM5,01/01/2020 07:00 CST,5.36,84.0,0.69,152.0,0.0,0.0,0.0,31.89,12.1,1.53,,SSE,
PRRM5,01/01/2020 07:15 CST,,,,,,,0.0,31.89,,,,,
PRRM5,01/01/2020 07:30 CST,8.06,86.0,0.89,140.0,,0.0,0.0,31.89,12.1,4.7,,SE,
PRRM5,01/01/2020 07:45 CST,,,,,,,0.0,31.89,,,,,
PRRM5,01/01/2020 08:00 CST,10.76,86.0,1.01,121.0,0.0,1.0,0.0,31.89,12.1,7.35,,ESE,
PRRM5,01/01/2020 08:15 CST,,,,,,,0.0,31.89,,,,,
