# STATION: PRRM5
# STATION NAME: STRAIGHT RIVER NEAR PARK RAPIDS 4SW
# LATITUDE: 46.87917
# LONGITUDE: -95.12000
# ELEVATION [ft]: 1417
# STATE: MN
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,precip_accum_one_hour_set_1,solar_radiation_set_1,precip_accum_set_1,T_water_temp_set_1,volt_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Inches,W/m**2,Inches,Fahrenheit,volts,Fahrenheit,Fahrenheit,code,Fahrenheit
PRRM5,07/01/2021 01:00 CDT,32.0,,0.0,,0.0,0.0,4.99,,12.8,,,,
PRRM5,07/01/2021 01:15 CDT,,,,,,,4.99,,,,,,
PRRM5,07/01/2021 01:30 CDT,32.0,,0.0,,,0.0,4.99,,12.8,,,,
PRRM5,07/01/2021 01:45 CDT,,,,,,,4.99,,,,,,
PRRM5,07/01/2021 02:00 CDT,32.0,,0.0,,0.0,0.0,4.99,,12.8,,,,
PRRM5,07/01/2021 02:15 CDT,,,,,,,4.99,,,,,,
PRRM5,07/01/2021 02:30 CDT,32.0,,0.0,,,0.0,4.99,,12.8,,,,
PRRM5,07/01/2021 02:45 CDT,,,,,,,4.99,,,,,,
PRRM5,07/01/2021 03:00 CDT,32.0,,0.0,,0.0,0.0,4.99,,12.8,,,,
PRRM5,07/01/2021 03:15 CDT,,,,,,,4.99,,,,,,
PRRM5,07/01/2021 03:30 CDT,32.0,,0.0,,,0.0,4.99,,12.8,,,,
PRRM5,07/01/2021 03:45 CDT,,,,,,,4.99,,,,,,
PRRM5,07/01/2021 04:00 CDT,32.0,,0.0,,0.0,0.0,4.99,,12.8,,,,
PRRM5,07/01/2021 04:15 CDT,,,,,,,4.99,,,,,,
PRRM5,07/01/2021 04:30 CDT,32.0,,0.0,,,0.0,4.99,,12.8,,,,
PRRM5,07/01/2021 04:45 CDT,,,,,,,4.99,,,,,,
PRRM5,07/01/2021 05:00 CDT,32.0,,0.0,,0.0,0.0,4.99,,12.7,,,,
PRRM5,07/01/2021 05:15 CDT,,,,,,,4.99,,,,,,
PRRM5,07/01/2021 05:30 CDT,32.0,,0.0,,,0.0,4.99,,12.7,,,,
PRRM5,07/01/2021 05:45 CDT,,,,,,,4.99,,,,,,
PRRM5,07/01/2021 06:00 CDT,32.0,,0.0,,0.0,0.0,4.99,,12.7,,,,
PRRM5,07/01/2021 06:15 CDT,,,,,,,4.99,,,,,,
PRRM5,07/01/2021 06:30 CDT,32.0,,0.0,,,0.0,4.99,,12.8,,,,
