# STATION: PRRM5
# STATION NAME: STRAIGHT RIVER NEAR PARK RAPIDS 4SW
# LATITUDE: 46.87917
# LONGITUDE: -95.12000
# ELEVATION [ft]: 1417
# STATE: MN
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,precip_accum_one_hour_set_1,solar_radiation_set_1,precip_accum_set_1,T_water_temp_set_1,volt_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Inches,W/m**2,Inches,Fahrenheit,volts,Fahrenheit,Fahrenheit,code,Fahrenheit
PRRM5,05/01/2022 01:00 CDT,39.92,90.0,2.7,38.0,0.0,0.0,4.56,41.9,12.6,37.19,,NE,
PRRM5,05/01/2022 01:15 CDT,,,,,,,4.56,41.9,,,,,
PRRM5,05/01/2022 01:30 CDT,39.74,90.0,2.2,34.0,,0.0,4.56,41.9,12.6,37.01,,NE,
PRRM5,05/01/2022 01:45 CDT,,,,,,,4.56,41.8,,,,,
PRRM5,05/01/2022 02:00 CDT,39.74,91.0,2.3,32.0,0.0,0.0,4.56,41.7,12.6,37.3,,NNE,
PRRM5,05/01/2022 02:15 CDT,,,,,,,4.56,41.8,,,,,
PRRM5,05/01/2022 02:30 CDT,39.74,91.0,1.0,125.0,,0.0,4.56,41.8,12.6,37.3,,SE,
PRRM5,05/01/2022 02:45 CDT,,,,,,,4.56,41.7,,,,,
PRRM5,05/01/2022 03:00 CDT,40.28,91.0,1.4,64.0,0.0,0.0,4.56,41.6,12.6,37.83,,ENE,
PRRM5,05/01/2022 03:15 CDT,,,,,,,4.57,41.6,,,,,
PRRM5,05/01/2022 03:30 CDT,40.28,91.0,1.4,307.0,,0.0,4.57,41.6,12.6,37.83,,NW,
PRRM5,05/01/2022 03:45 CDT,,,,,,,4.57,41.5,,,,,
PRRM5,05/01/2022 04:00 CDT,40.28,91.0,2.5,327.0,0.01,0.0,4.57,41.5,12.6,37.83,,NNW,
PRRM5,05/01/2022 04:15 CDT,,,,,,,4.57,41.5,,,,,
PRRM5,05/01/2022 04:30 CDT,40.1,91.0,3.4,332.0,,0.0,4.58,41.4,12.6,37.65,,NNW,
PRRM5,05/01/2022 04:45 CDT,,,,,,,4.58,41.4,,,,,
PRRM5,05/01/2022 05:00 CDT,40.1,91.0,3.1,327.0,0.02,0.0,4.59,41.3,12.6,37.65,,NNW,
PRRM5,05/01/2022 05:15 CDT,,,,,,,4.59,41.3,,,,,
PRRM5,05/01/2022 05:30 CDT,40.1,90.0,3.3,326.0,,0.0,4.59,41.3,12.6,37.37,,NW,
PRRM5,05/01/2022 05:45 CDT,,,,,,,4.6,41.3,,,,,
PRRM5,05/01/2022 06:00 CDT,40.1,90.0,3.69,326.0,0.01,0.0,4.6,41.2,12.6,37.37,,NW,
PRRM5,05/01/2022 06:15 CDT,,,,,,,4.6,41.2,,,,,
PRRM5,05/01/2022 06:30 CDT,40.1,90.0,3.9,319.0,,3.0,4.6,41.2,12.6,37.37,,NW,
PRRM5,05/01/2022 06:45 CDT,,,,,,,4.6,41.1,,,,,
PRRM5,05/01/2022 07:00 CDT,40.1,90.0,3.4,312.0,0.01,10.0,4.61,41.1,12.6,37.37,,NW,
PRRM5,05/01/2022 07:15 CDT,,,,,,,4.62,41.1,,,,,
PRRM5,05/01/2022 07:30 CDT,40.28,90.0,4.4,306.0,,25.0,4.62,41.0,12.6,37.54,,NW,
PRRM5,05/01/2022 07:45 CDT,,,,,,,4.62,41.0,,,,,
PRRM5,05/01/2022 08:00 CDT,40.28,88.0,6.2,322.0,0.02,39.0,4.63,41.0,12.6,36.97,,NW,
PRRM5,05/01/2022 08:15 CDT,,,,,,,4.63,41.0,,,,,
PRRM5,05/01/2022 08:30 CDT,40.28,87.0,6.1,326.0,,61.0,4.63,41.0,12.7,36.67,,NW,
PRRM5,05/01/2022 08:45 CDT,,,,,,,4.64,41.0,,,,,
PRRM5,05/01/2022 09:00 CDT,40.46,87.0,5.6,319.0,0.01,64.0,4.64,41.0,12.7,36.85,,NW,
PRRM5,05/01/2022 09:15 CDT,,,,,,,4.64,41.0,,,,,
PRRM5,05/01/2022 09:30 CDT,40.64,86.0,7.2,320.0,,95.0,4.64,41.0,12.8,36.73,,NW,
PRRM5,05/01/2022 09:45 CDT,,,,,,,4.64,41.0,,,,,
PRRM5,05/01/2022 10:00 CDT,40.64,85.0,8.0,317.0,0.0,100.0,4.64,41.1,12.8,36.43,,NW,
PRRM5,05/01/2022 10:15 CDT,,,,,,,4.64,41.1,,,,,
PRRM5,05/01/2022 10:30 CDT,40.1,84.0,9.0,321.0,,112.0,4.64,41.2,13.0,35.6,36.16,NW,
PRRM5,05/01/2022 10:45 CDT,,,,,,,4.64,41.2,,,,,
PRRM5,05/01/2022 11:00 CDT,40.1,84.0,8.4,323.0,0.0,117.0,4.64,41.2,13.0,35.6,36.43,NW,
PRRM5,05/01/2022 11:15 CDT,,,,,,,4.64,41.5,,,,,
PRRM5,05/01/2022 11:30 CDT,39.92,84.0,8.4,321.0,,116.0,4.64,41.2,13.1,35.42,36.21,NW,
PRRM5,05/01/2022 11:45 CDT,,,,,,,4.64,41.3,,,,,
PRRM5,05/01/2022 12:00 CDT,40.1,84.0,8.3,307.0,0.0,126.0,4.64,41.3,13.2,35.6,36.47,NW,
PRRM5,05/01/2022 12:15 CDT,,,,,,,4.64,41.7,,,,,
PRRM5,05/01/2022 12:30 CDT,40.28,82.0,8.5,318.0,,159.0,4.64,41.7,13.3,35.16,36.59,NW,
PRRM5,05/01/2022 12:45 CDT,,,,,,,4.64,41.6,,,,,
PRRM5,05/01/2022 13:00 CDT,40.64,82.0,9.0,304.0,0.0,185.0,4.64,41.6,13.4,35.51,36.8,NW,
PRRM5,05/01/2022 13:15 CDT,,,,,,,4.64,41.6,,,,,
PRRM5,05/01/2022 13:30 CDT,40.28,82.0,9.9,312.0,,133.0,4.64,41.7,13.2,35.16,35.99,NW,
PRRM5,05/01/2022 13:45 CDT,,,,,,,4.64,41.6,,,,,
PRRM5,05/01/2022 14:00 CDT,39.74,83.0,9.49,308.0,0.0,115.0,4.64,41.7,13.2,34.94,35.52,NW,
PRRM5,05/01/2022 14:15 CDT,,,,,,,4.64,41.8,,,,,
PRRM5,05/01/2022 14:30 CDT,39.56,84.0,9.4,306.0,,111.0,4.64,41.7,13.2,35.07,35.34,NW,
PRRM5,05/01/2022 14:45 CDT,,,,,,,4.64,41.8,,,,,
PRRM5,05/01/2022 15:00 CDT,38.84,84.0,10.1,300.0,0.0,107.0,4.64,41.8,13.2,34.36,34.19,WNW,
PRRM5,05/01/2022 15:15 CDT,,,,,,,4.64,41.9,,,,,
PRRM5,05/01/2022 15:30 CDT,38.66,84.0,10.6,297.0,,108.0,4.64,41.9,13.2,34.18,33.78,WNW,
PRRM5,05/01/2022 15:45 CDT,,,,,,,4.64,42.0,,,,,
PRRM5,05/01/2022 16:00 CDT,38.3,86.0,9.9,297.0,0.0,92.0,4.64,41.9,13.1,34.43,33.63,WNW,
PRRM5,05/01/2022 16:15 CDT,,,,,,,4.64,42.0,,,,,
PRRM5,05/01/2022 16:30 CDT,38.3,86.0,9.8,301.0,,85.0,4.64,42.0,13.1,34.43,33.67,WNW,
PRRM5,05/01/2022 16:45 CDT,,,,,,,4.64,42.0,,,,,
PRRM5,05/01/2022 17:00 CDT,38.3,87.0,10.0,300.0,0.0,73.0,4.64,42.0,13.0,34.72,33.59,WNW,
PRRM5,05/01/2022 17:15 CDT,,,,,,,4.64,41.9,,,,,
PRRM5,05/01/2022 17:30 CDT,38.3,86.0,8.3,312.0,,53.0,4.64,42.0,13.0,34.43,34.35,NW,
PRRM5,05/01/2022 17:45 CDT,,,,,,,4.64,42.0,,,,,
PRRM5,05/01/2022 18:00 CDT,38.3,87.0,8.5,303.0,0.0,39.0,4.64,42.0,12.8,34.72,34.26,WNW,
PRRM5,05/01/2022 18:15 CDT,,,,,,,4.64,41.9,,,,,
PRRM5,05/01/2022 18:30 CDT,38.12,88.0,7.7,310.0,,32.0,4.64,41.9,12.8,34.84,,NW,
PRRM5,05/01/2022 18:45 CDT,,,,,,,4.64,41.9,,,,,
PRRM5,05/01/2022 19:00 CDT,38.3,86.0,8.19,302.0,0.0,34.0,4.64,41.8,12.8,34.43,34.41,WNW,
PRRM5,05/01/2022 19:15 CDT,,,,,,,4.64,41.8,,,,,
PRRM5,05/01/2022 19:30 CDT,38.3,85.0,8.3,298.0,,24.0,4.64,41.8,12.8,34.13,34.35,WNW,
PRRM5,05/01/2022 19:45 CDT,,,,,,,4.64,41.8,,,,,
PRRM5,05/01/2022 20:00 CDT,38.48,84.0,6.4,308.0,0.0,8.0,4.64,41.7,12.7,34.01,,NW,
PRRM5,05/01/2022 20:15 CDT,,,,,,,4.64,41.7,,,,,
