# STATION: PRRM5
# STATION NAME: STRAIGHT RIVER NEAR PARK RAPIDS 4SW
# LATITUDE: 46.87917
# LONGITUDE: -95.12000
# ELEVATION [ft]: 1417
# STATE: MN
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,precip_accum_one_hour_set_1,solar_radiation_set_1,precip_accum_set_1,T_water_temp_set_1,volt_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Inches,W/m**2,Inches,Fahrenheit,volts,Fahrenheit,Fahrenheit,code,Fahrenheit
PRRM5,10/01/2021 01:00 CDT,60.98,91.0,0.6,193.0,0.01,0.0,1.57,63.0,12.8,58.31,,SSW,
PRRM5,10/01/2021 01:15 CDT,,,,,,,1.57,62.7,,,,,
PRRM5,10/01/2021 01:30 CDT,60.8,91.0,1.0,143.0,,0.0,1.57,62.5,12.8,58.13,,SE,
PRRM5,10/01/2021 01:45 CDT,,,,,,,1.57,62.5,,,,,
PRRM5,10/01/2021 02:00 CDT,60.62,91.0,1.3,146.0,0.0,0.0,1.57,62.3,12.8,57.96,,SE,
PRRM5,10/01/2021 02:15 CDT,,,,,,,1.57,62.1,,,,,
PRRM5,10/01/2021 02:30 CDT,60.8,91.0,0.9,121.0,,0.0,1.57,62.0,12.8,58.13,,ESE,
PRRM5,10/01/2021 02:45 CDT,,,,,,,1.57,61.9,,,,,
PRRM5,10/01/2021 03:00 CDT,62.06,92.0,0.9,106.0,0.0,0.0,1.57,61.8,12.8,59.69,,ESE,
PRRM5,10/01/2021 03:15 CDT,,,,,,,1.57,61.7,,,,,
PRRM5,10/01/2021 03:30 CDT,62.42,92.0,0.6,201.0,,0.0,1.57,61.6,12.7,60.05,,SSW,
PRRM5,10/01/2021 03:45 CDT,,,,,,,1.57,61.5,,,,,
PRRM5,10/01/2021 04:00 CDT,61.52,91.0,1.4,193.0,0.0,0.0,1.57,61.4,12.7,58.85,,SSW,
PRRM5,10/01/2021 04:15 CDT,,,,,,,1.57,61.3,,,,,
PRRM5,10/01/2021 04:30 CDT,61.34,91.0,1.3,285.0,,0.0,1.57,61.2,12.7,58.67,,WNW,
PRRM5,10/01/2021 04:45 CDT,,,,,,,1.57,61.1,,,,,
PRRM5,10/01/2021 05:00 CDT,61.52,92.0,0.7,222.0,0.0,0.0,1.57,61.1,12.7,59.15,,SW,
PRRM5,10/01/2021 05:15 CDT,,,,,,,1.57,61.0,,,,,
PRRM5,10/01/2021 05:30 CDT,62.42,92.0,1.6,224.0,,0.0,1.57,60.9,12.7,60.05,,SW,
PRRM5,10/01/2021 05:45 CDT,,,,,,,1.57,60.9,,,,,
PRRM5,10/01/2021 06:00 CDT,62.78,92.0,1.5,176.0,,0.0,1.57,60.7,12.7,60.4,,S,
PRRM5,10/01/2021 06:15 CDT,,,,,,,1.57,60.7,,,,,
PRRM5,10/01/2021 06:30 CDT,62.96,92.0,1.2,154.0,,0.0,1.57,60.7,12.7,60.58,,SSE,
PRRM5,10/01/2021 06:45 CDT,,,,,,,1.57,60.7,,,,,
PRRM5,10/01/2021 07:00 CDT,62.96,92.0,1.4,165.0,0.0,0.0,1.57,60.6,12.7,60.58,,SSE,
PRRM5,10/01/2021 07:15 CDT,,,,,,,1.57,60.5,,,,,
PRRM5,10/01/2021 07:30 CDT,63.14,92.0,0.9,257.0,,1.0,1.57,60.5,12.7,60.76,,WSW,
PRRM5,10/01/2021 07:45 CDT,,,,,,,1.57,60.5,,,,,
PRRM5,10/01/2021 08:00 CDT,63.14,92.0,1.6,283.0,0.0,9.0,1.57,60.4,12.6,60.76,,WNW,
PRRM5,10/01/2021 08:15 CDT,,,,,,,1.57,60.3,,,,,
PRRM5,10/01/2021 08:30 CDT,63.32,92.0,3.1,283.0,,33.0,1.57,60.3,12.7,60.94,,WNW,
PRRM5,10/01/2021 08:45 CDT,,,,,,,1.57,60.3,,,,,
PRRM5,10/01/2021 09:00 CDT,63.5,92.0,3.6,280.0,,69.0,1.57,60.3,12.8,61.12,,W,
PRRM5,10/01/2021 09:15 CDT,,,,,,,1.57,60.3,,,,,
PRRM5,10/01/2021 09:30 CDT,63.68,91.0,2.9,278.0,,66.0,1.57,60.3,12.9,60.98,,W,
PRRM5,10/01/2021 09:45 CDT,,,,,,,1.57,60.4,,,,,
PRRM5,10/01/2021 10:00 CDT,64.04,91.0,1.4,228.0,0.0,76.0,1.57,60.3,12.9,61.34,,SW,
PRRM5,10/01/2021 10:15 CDT,,,,,,,1.57,60.4,,,,,
PRRM5,10/01/2021 10:30 CDT,64.4,90.0,1.5,183.0,,70.0,1.57,60.4,13.0,61.38,,S,
PRRM5,10/01/2021 10:45 CDT,,,,,,,1.57,60.4,,,,,
