type,stid,lat,lon,year,month,day,hour,dattim,tmpf,prec,wspd,gust,drct,relh,solr,hffmc,hisi,hfwi,hdsr,gfmc,gisi,vpd,obtime
O,ITCM5,47.24,-95.19,2022,08,31,05,202208310500,56,0,0,0,,100,0,80.4,1.2,1.3,0,79.4,1.1,0,507
O,ITCM5,47.24,-95.19,2022,08,31,04,202208310400,57,0,0,0,,100,0,81.1,1.3,1.5,0.1,79.4,1.1,0,407
O,ITCM5,47.24,-95.19,2022,08,31,03,202208310300,59,0,0,0,,99,0,81.9,1.4,1.8,0.1,79.6,1.1,0,307
O,ITCM5,47.24,-95.19,2022,08,31,02,202208310200,62,0,0,0,,97,1,82.7,1.6,2.2,0.1,80.7,1.2,1,207
O,ITCM5,47.24,-95.19,2022,08,31,01,202208310100,67,0,0,2,,89,19,83.5,1.7,2.4,0.1,86,2.4,2,107
O,ITCM5,47.24,-95.19,2022,08,31,00,202208310000,76,0,2,9,305,55,169,83.8,2.1,3.2,0.2,92.3,7,14,7
O,ITCM5,47.24,-95.19,2022,08,30,23,202208302300,78,0,4,14,311,48,331,83.3,2.3,3.5,0.3,94.1,10.6,17,2307
O,ITCM5,47.24,-95.19,2022,08,30,22,202208302200,77,0,7,18,309,49,457,82.4,2.6,4,0.3,94.3,13.9,16,2207
O,ITCM5,47.24,-95.19,2022,08,30,21,202208302100,79,0,5,15,270,49,611,81.2,1.9,2.8,0.2,95.9,14.7,17,2107
O,ITCM5,47.24,-95.19,2022,08,30,20,202208302000,77,0,6,18,297,49,742,79.9,1.8,2.6,0.1,95.9,15.9,16,2007
O,ITCM5,47.24,-95.19,2022,08,30,19,202208301900,76,0,6,16,296,48,788,78.4,1.6,2.2,0.1,95.9,15.9,16,1907
O,ITCM5,47.24,-95.19,2022,08,30,18,202208301800,75,0,5,16,284,50,782,76.7,1.3,1.5,0.1,95.9,14.7,15,1807
O,ITCM5,47.24,-95.19,2022,08,30,17,202208301700,73,0,6,14,285,49,721,74.9,1.2,0.9,0,94.4,13,14,1707
O,ITCM5,47.24,-95.19,2022,08,30,16,202208301600,71,0,5,12,284,53,611,72.9,1,0.7,0,92.9,9.7,12,1607
O,ITCM5,47.24,-95.19,2022,08,30,15,202208301500,70,0,3,9,297,62,467,70.9,0.8,0.6,0,89.9,5.4,10,1507
O,ITCM5,47.24,-95.19,2022,08,30,14,202208301400,64,0,3,9,320,70,300,69.3,0.8,0.6,0,84.7,2.6,6,1407
O,ITCM5,47.24,-95.19,2022,08,30,13,202208301300,60,0,1,5,333,78,140,68.1,0.6,0.4,0,80.6,1.3,4,1307
O,ITCM5,47.24,-95.19,2022,08,30,12,202208301200,53,0,2,5,350,93,8,67.4,0.7,0.5,0,78.5,1.2,1,1207
O,ITCM5,47.24,-95.19,2022,08,30,11,202208301100,52,0,1,5,358,94,0,67.2,0.6,0.4,0,80.3,1.3,1,1107
O,ITCM5,47.24,-95.19,2022,08,30,10,202208301000,54,0,2,5,338,89,0,67,0.7,0.5,0,81.2,1.5,2,1007
O,ITCM5,47.24,-95.19,2022,08,30,09,202208300900,53,0,1,6,310,91,0,66.6,0.6,0.4,0,81,1.4,1,907
O,ITCM5,47.24,-95.19,2022,08,30,08,202208300800,56,0,3,9,331,84,0,66.3,0.7,0.5,0,82.1,1.8,2,807
O,ITCM5,47.24,-95.19,2022,08,30,07,202208300700,57,0,4,8,306,83,0,65.7,0.7,0.5,0,82.3,2,3,707
O,ITCM5,47.24,-95.19,2022,08,30,06,202208300600,56,0,3,7,310,85,0,64.9,0.7,0.5,0,82,1.8,2,607
O,ITCM5,47.24,-95.19,2022,08,30,05,202208300500,57,0,1,6,303,85,0,64.2,0.6,0.4,0,82.2,1.6,2,507
O,ITCM5,47.24,-95.19,2022,08,30,04,202208300400,59,0,3,10,310,80,0,63.7,0.6,0.4,0,82.9,2,3,407
O,ITCM5,47.24,-95.19,2022,08,30,03,202208300300,59,0,3,6,297,90,0,62.7,0.6,0.4,0,81,1.6,2,307
